x,y,flux,peak,event_sign,diff_flux,diff_flux_std,diff_sigma,diff_sigma_min,diff_sigma_max,flux_pre,flux_post,err_pre,err_post,post_to_pre_ratio,pre_snr,post_snr,crowding_index,blend_risk,edge_distance_px,pair_is_stable,registration_residual_px,registration_dx_px,registration_dy_px,registration_n_matches,pair_stable_fraction,pair_extreme_fade_fraction,pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,pre_mjd,post_mjd,id,sharpness,roundness1,roundness2,npix,mag,daofind_mag
4275.136840460263,2692.12884585699,2305.764072118534,118.72312447967217,fade,3074.7239287882376,721.5123506328063,914.7164509504066,372.98176999750956,1597.2055155393732,3074.7889250110893,0.008192775558429566,3.3615017711026214,0.028026427914868018,2.664500152120204e-06,914.7069180339935,0.2923232166195286,2.0,0.9999763949385697,261.2278698760911,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,953.0,0.23881121987680792,0.7718092755624342,0.9753016198219175,25.0,-8.407037169561834,-6.431434093057694
1844.7995785675641,2723.191862788978,1058.3480675705666,96.84373170049552,fade,1082.018676905792,239.84362594680988,98.94487828613231,53.04781381513762,123.99405125510373,1082.0057409722126,0.06938912161499537,10.935154044665984,0.0361477393261594,3.958236474996718e-05,98.94746215303661,1.919597820181796,4.0,0.9999933369074696,100.2845950283492,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1117.0,0.5832801118576577,-0.06158890165538555,-0.014592916168102443,25.0,-7.561571302908741,-6.245254758202693
1909.4163503536117,2509.994811750979,442.829240111612,57.08675065934541,fade,465.95712422651116,72.10349281100834,120.99214187187653,41.21040086257496,173.15322924117774,465.9793944929432,0.16091312194793067,3.851011684548083,0.02610906327634487,0.000328416008596054,121.00181268279532,6.163113561171684,4.0,0.9999871779532877,49.36598018878993,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,242.0,0.7232054307904843,-0.20642152340532305,-0.26086033515919005,25.0,-6.6155907242828675,-5.6586191219132065
1760.0468137668402,2752.972989842122,367.4631967698958,47.03888011982421,fade,370.7972897100358,66.40581747856758,75.99495212363534,56.49111796192277,105.66911397429831,370.81781956709005,0.04555951695992248,4.881885626990037,0.03304184798970994,0.0001994009640595783,75.95790805032041,1.378842883549094,3.0,0.9999936700165829,119.50732195141852,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1285.0,0.7017813418537063,-0.02722950120354318,0.12162219608880878,25.0,-6.413034622223096,-5.477618349797759
2046.8313335846512,2771.8572364441675,348.27005862244863,31.442071339928063,fade,341.22840979347706,65.18221378603201,59.55243813819484,35.35107135824252,62.50375563366708,340.912522982426,-0.06855946290421872,5.731116830457024,0.031209110864118136,-0.00014714784769869738,59.484483228592666,2.196777191209352,3.0,0.9999705624984403,173.6663467687393,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1371.0,0.5624959289929324,-0.08547496873920253,-0.10651357315964409,25.0,-6.354790347543836,-5.05175661821862
1876.4725740136355,2933.0310419822586,346.5360762862228,27.81088540036382,fade,398.43283420658446,103.22488389365596,31.788175522867743,28.719110017755224,32.983926144350534,398.51920245174006,0.008874404130398583,12.533659743861852,0.030569000031883186,2.2268447983941895e-05,31.795916802904124,0.29030730874881944,2.0,0.9999483759206925,312.44359490954525,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,2038.0,0.4690138419885096,0.09628756970614032,0.45553886761478557,25.0,-6.349371134284844,-5.002188994139995
1876.802355402304,2929.999130167996,330.93236121827346,25.36010218176968,fade,397.01986606664576,123.32797975891988,29.186368429047874,24.730085981248976,100.0894610642234,396.9224998175033,0.00927716339090362,13.60996513549062,0.03050274594484423,2.3372732448195973e-05,29.164108494477404,0.3041419093113388,3.0,0.999919724122802,309.594896598765,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,2031.0,0.4740677254933717,0.2041070594985577,0.831818569347514,25.0,-6.299348095078013,-4.838168098216423
1850.2562394009187,2723.4321165474876,324.4738103377861,15.294678076739949,fade,262.39759018911684,184.16503873527455,8.53544070008645,1.4401656670752514,45.59043613415523,262.53116655242184,0.03111280944393277,30.742355785800154,0.029541445998640593,0.00016272369030629312,8.53972182163361,1.0531918256596,5.0,0.9999657224875964,100.84145972763385,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1126.0,0.798114891025402,0.5122431892926115,-0.8837275909186263,25.0,-6.277949121987403,-2.475315265714804
1930.0489887133124,2571.463176740086,309.9576193116149,45.023296550124584,fade,307.37053273271846,25.91075769141257,98.22823047412162,82.32729241480571,171.54703093519672,307.37730443290536,-0.025331287836482752,3.124485808991881,0.02688544773424794,-5.9819661637468884e-05,98.37692446811944,0.9421932670369694,1.0,0.999962064985447,10.04987562112089,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,432.0,0.7218007644350379,0.09433425405888168,0.11118571745174498,25.0,-6.2282557913811765,-5.456593711885346
4022.0546941898942,4019.8835763959573,290.5662664946162,19.797467446689645,fade,327.16923768166345,53.52038391321153,435.37624610709884,264.7089709863572,529.4420889095103,327.22714610453704,-0.05629151116854103,0.7442268583326577,0.03385006357776626,-0.00015457018252509606,439.6873647339823,1.6629661873224661,1.0,0.9999337961230153,200.73116349984124,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,3747.0,0.3483421168652259,-0.8462754460558424,-0.4178379292193226,25.0,-6.158112982874485,-4.744941132263945
1849.5544935963371,2841.185774861234,282.3627163553685,32.35492477586313,fade,271.7834671237614,33.53356927891383,36.93940154476709,20.804049245701712,122.97845301398591,271.6804694621875,-0.02252868809766273,7.351240350643711,0.027381288402370852,-8.292347308682149e-05,36.957092477380066,0.8227767724659752,2.0,0.99999159076711,217.9380645963435,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1731.0,0.6335228256859573,-0.1351686935249468,-0.21078771347713807,25.0,-6.127018377991763,-5.123022731067131
1862.934429551064,2907.105347536586,275.7435253305053,42.41292750195553,fade,276.7456272346081,57.819201982184616,48.82478645875806,14.910215949959877,154.8298931166336,276.7576319267805,-0.03653467084753256,5.664992083644867,0.030244868568189164,-0.00013200962370280088,48.85401918315023,1.2079626256322655,2.0,0.9999891222743474,285.0350855596553,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1959.0,0.9467119221996758,0.013983998818040844,0.053341620186300974,25.0,-6.101263309160929,-5.119959006821988
2814.110122562262,3280.273582594492,268.72624076926576,25.53898815503985,fade,302.7201819806634,56.65047021853442,118.09685344761311,105.32990479318332,162.00244311600335,302.68487106160273,-0.08874169315402824,2.55765557816509,0.03031945002281221,-0.0002559035599342177,118.34465658536969,2.9268899365674317,1.0,0.9999606242590926,772.2434849191025,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,2690.0,0.5827294239698353,0.02131618656559175,-0.041962746127410966,25.0,-6.0732751919934325,-4.830009581784495
1973.043660111561,2618.4171054849144,263.98066702490144,26.190199538131505,fade,248.8589585197284,70.62512651845502,29.894853451473466,12.75199272075378,40.80821255565489,248.76194286219248,0.021958412628226842,8.321052916716408,0.024910259996120784,8.827078762763651e-05,29.895488630104406,0.8815007403233196,4.0,0.9999909705439212,12.0,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,621.0,0.5862533043425086,0.2462888300119696,0.1223681517148411,25.0,-6.053930304751755,-4.8835127922466794
1748.2559265626435,2840.410955481072,250.83964917746266,30.495650319403893,fade,243.65348690054273,26.693682101248196,61.32289892597023,38.37467169575059,61.32289892597023,243.62937387816368,-0.09295678562696658,3.9690788182878327,0.028575798979380066,-0.00038154999188830664,61.38184325179505,3.2529899056905816,2.0,0.9999575286187504,204.41379601191306,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,1726.0,0.6274220622834156,0.18684985633285062,0.09205640870241612,25.0,-5.998490461756461,-5.102235179517065
1974.8076374191664,2623.7784591339673,239.74105150282722,21.961244639451504,fade,220.74953854784883,52.95012166240063,13.749523807053297,8.150998175736794,15.067528996745859,220.62290923906545,-0.039750125690951765,16.065067767932472,0.03321873421719979,-0.0001801722487843672,13.733083011293079,1.196617710688392,3.0,0.9999472217497527,18.027756377319946,False,,0.0,0.0,0,0.0,0.9895470383275261,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,55147.07394532,59359.68049359,644.0,0.5916085634418181,0.16844366131091568,0.15377430752686255,25.0,-5.949356014523629,-4.619739800651525
