pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,scale_factor_post_to_pre,n_scale_sources,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,n_residual_detections,n_survivors,n_fade_survivors,n_brighten_survivors,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2,status,error
MESSIER 101::jw03921-o040_t042_miri_f770w::jw07881-o001_t002_miri_f770w,MESSIER 101,jw03921-o040_t042_miri_f770w,jw07881-o001_t002_miri_f770w,F770W,F770W,exact,690.8823923032396,1.4000000000000001,-1.0909696892845204,0.20345697533616658,0.14825122888067455,223.0,0.9674186596676118,113.0,0.9416058394160584,0.010948905109489052,True,498,27,27.0,0.0,212737553.0,378062981.0,jw03921-o040_t042_miri_f770w_i2d.fits,jw07881-o001_t002_miri_f770w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f770w/jw03921-o040_t042_miri_f770w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f770w/jw07881-o001_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f770w/jw03921-o040_t042_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f770w/jw07881-o001_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03921-o040_t042_miri_f1000w::jw07881-o001_t002_miri_f1000w,MESSIER 101,jw03921-o040_t042_miri_f1000w,jw07881-o001_t002_miri_f1000w,F1000W,F1000W,exact,690.8817182291677,1.4000000000000001,-1.3087301669303315,0.28303239021403215,0.11447848427927144,163.0,0.9533630053751652,138.0,0.7307692307692307,0.038461538461538464,False,262,0,0.0,0.0,212737554.0,378062980.0,jw03921-o040_t042_miri_f1000w_i2d.fits,jw07881-o001_t002_miri_f1000w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f1000w/jw03921-o040_t042_miri_f1000w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f1000w/jw07881-o001_t002_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f1000w/jw03921-o040_t042_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f1000w/jw07881-o001_t002_miri_f1000w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o010_t002_miri_f770w,NGC 3521,jw03707-o045_t026_miri_f770w,jw09258-o010_t002_miri_f770w,F770W,F770W,exact,607.1694012615771,1.4000000000000001,-0.08750777959994593,-0.020319683171692304,0.44433569179533927,117.0,0.32021411495009705,17.0,0.08823529411764706,0.4264705882352941,False,44,0,0.0,0.0,214109317.0,369260805.0,jw03707-o045_t026_miri_f770w_i2d.fits,jw09258-o010_t002_miri_f770w_i2d.fits,cached://JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,cached://JWST/jw09258-o010_t002_miri_f770w/jw09258-o010_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw09258-o010_t002_miri_f770w/jw09258-o010_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03429-o003_t001_miri_f2100w::jw07881-o001_t002_miri_f2100w,MESSIER 101,jw03429-o003_t001_miri_f2100w,jw07881-o001_t002_miri_f2100w,F2100W,F2100W,exact,602.878193518518,1.4000000000000001,,,,,,,,,,0,0,,,,,,,,,,,,,,,FAILED,Insufficient overlap after WCS reprojection.
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o006_t002_miri_f770w,NGC 3521,jw03707-o045_t026_miri_f770w,jw09258-o006_t002_miri_f770w,F770W,F770W,exact,586.5659998958363,1.4000000000000001,-0.03651575002709251,0.013522831687282633,0.4987035752554001,92.0,1.0,7.0,0.02112676056338028,0.44366197183098594,False,176,0,0.0,0.0,214109317.0,368594675.0,jw03707-o045_t026_miri_f770w_i2d.fits,jw09258-o006_t002_miri_f770w_i2d.fits,cached://JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,cached://JWST/jw09258-o006_t002_miri_f770w/jw09258-o006_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw09258-o006_t002_miri_f770w/jw09258-o006_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f560w-sub256::jw05627-o022_t007_miri_f560w-sub128,NGC 4388,jw02064-o009_t005_miri_f560w-sub256,jw05627-o022_t007_miri_f560w-sub128,F560W,F560W,exact,562.2201320370368,1.4000000000000001,0.0,0.0,,0.0,1.0,1.0,0.07142857142857142,0.07142857142857142,False,2,0,0.0,0.0,150191294.0,236577230.0,jw02064-o009_t005_miri_f560w-sub256_i2d.fits,jw05627-o022_t007_miri_f560w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f560w-sub128/jw05627-o022_t007_miri_f560w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f560w-sub128/jw05627-o022_t007_miri_f560w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f1500w-sub256::jw05627-o022_t007_miri_f1500w-sub128,NGC 4388,jw02064-o009_t005_miri_f1500w-sub256,jw05627-o022_t007_miri_f1500w-sub128,F1500W,F1500W,exact,562.2177727777744,1.4000000000000001,-1.981756997136884,-2.8091304507372,0.407361063551108,8.0,1.0,1.0,0.6818181818181818,0.0,True,9,0,0.0,0.0,150189426.0,236577233.0,jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f1500w-sub128/jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f1500w-sub128/jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f1800w-sub256::jw05627-o022_t007_miri_f1800w-sub128,NGC 4388,jw02064-o009_t005_miri_f1800w-sub256,jw05627-o022_t007_miri_f1800w-sub128,F1800W,F1800W,exact,562.2139468518508,1.4000000000000001,-2.528659462575405,-2.047229327965212,0.4396868922575745,6.0,1.0,1.0,0.7,0.0,True,11,0,0.0,0.0,150193274.0,236577228.0,jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f1800w-sub128/jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f1800w-sub128/jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 061::jw02107-o013_t013_miri_f2100w::jw03295-o007_t004_miri_f2100w,MESSIER 061,jw02107-o013_t013_miri_f2100w,jw03295-o007_t004_miri_f2100w,F2100W,F2100W,exact,470.01706717592606,1.4000000000000001,-0.2650991674829015,-2.4862202039121257,0.36845761979898983,30.0,0.9581567970203438,44.0,0.9090909090909091,0.0,True,10,0,0.0,0.0,112977717.0,214658690.0,jw02107-o013_t013_miri_f2100w_i2d.fits,jw03295-o007_t004_miri_f2100w_i2d.fits,cached://JWST/jw02107-o013_t013_miri_f2100w/jw02107-o013_t013_miri_f2100w_i2d.fits,cached://JWST/jw03295-o007_t004_miri_f2100w/jw03295-o007_t004_miri_f2100w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02107-o013_t013_miri_f2100w/jw02107-o013_t013_miri_f2100w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03295-o007_t004_miri_f2100w/jw03295-o007_t004_miri_f2100w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 061::jw02107-o013_t013_miri_f1000w::jw03295-o007_t004_miri_f1000w,MESSIER 061,jw02107-o013_t013_miri_f1000w,jw03295-o007_t004_miri_f1000w,F1000W,F1000W,exact,470.00132832175586,1.4000000000000001,-0.9714638478599227,-3.101912533161567,0.32514875348627187,65.0,0.9745886344305241,82.0,0.9727272727272728,0.0,True,201,15,15.0,0.0,112973631.0,214658693.0,jw02107-o013_t013_miri_f1000w_i2d.fits,jw03295-o007_t004_miri_f1000w_i2d.fits,cached://JWST/jw02107-o013_t013_miri_f1000w/jw02107-o013_t013_miri_f1000w_i2d.fits,cached://JWST/jw03295-o007_t004_miri_f1000w/jw03295-o007_t004_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02107-o013_t013_miri_f1000w/jw02107-o013_t013_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03295-o007_t004_miri_f1000w/jw03295-o007_t004_miri_f1000w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
