pair_id,galaxy_name,galaxy_rank,obsid_1,obsid_2,obs_id_1,obs_id_2,obs_collection_1,obs_collection_2,filter_1,filter_2,instrument_1,instrument_2,baseline_days,compatibility,compatibility_score,pair_score,public_both,pixel_priority
NGC 5728::jw02064-o014_t015_miri_f1500w-sub256::jw01670-o010_t010_miri_f1500w-sub256,NGC 5728,70,87625581,118423393,jw02064-o014_t015_miri_f1500w-sub256,jw01670-o010_t010_miri_f1500w-sub256,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,257.10609628471866,exact,1.0,1.4000000000000001,True,2.620589913119783
NGC 5728::jw02064-o013_t007_miri_f560w-sub256::jw01670-o004_t003_miri_f560w-sub256,NGC 5728,70,87625568,118423417,jw02064-o013_t007_miri_f560w-sub256,jw01670-o004_t003_miri_f560w-sub256,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,256.92748752314947,exact,1.0,1.4000000000000001,True,2.620574881384427
NGC 5728::jw02064-o013_t007_miri_f1000w-sub256::jw01670-o004_t003_miri_f1000w-sub256,NGC 5728,70,87625574,118423418,jw02064-o013_t007_miri_f1000w-sub256,jw01670-o004_t003_miri_f1000w-sub256,JWST,JWST,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,256.9181482754648,exact,1.0,1.4000000000000001,True,2.620574095105848
NGC 1792::jw03707-o020_t011_nircam_clear-f150w::jw04793-o006_t006_nircam_clear-f150w,NGC 1792,92,204349157,230217942,jw03707-o020_t011_nircam_clear-f150w,jw04793-o006_t006_nircam_clear-f150w,JWST,JWST,F150W,F150W,NIRCAM/IMAGE,NIRCAM/IMAGE,255.79454315971816,exact,1.0,1.4000000000000001,True,2.6204792895405573
NGC 1792::jw03707-o020_t011_nircam_clear-f335m::jw04793-o006_t006_nircam_clear-f335m,NGC 1792,92,204349169,230217951,jw03707-o020_t011_nircam_clear-f335m,jw04793-o006_t006_nircam_clear-f335m,JWST,JWST,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,255.7315381712906,exact,1.0,1.4000000000000001,True,2.620473961141487
NGC 1792::jw03707-o020_t011_nircam_clear-f187n::jw04793-o006_t006_nircam_clear-f187n,NGC 1792,92,204349242,230217949,jw03707-o020_t011_nircam_clear-f187n,jw04793-o006_t006_nircam_clear-f187n,JWST,JWST,F187N,F187N,NIRCAM/IMAGE,NIRCAM/IMAGE,255.70432339120453,exact,1.0,1.4000000000000001,True,2.6204716591540893
NGC 7172::jw02064-o065_t008_miri_f1500w-sub256::jw01670-o002_t009_miri_f1500w-sub256,NGC 7172,58,100034348,148390130,jw02064-o065_t008_miri_f1500w-sub256,jw01670-o002_t009_miri_f1500w-sub256,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,227.42959622685157,exact,1.0,1.4000000000000001,True,2.61793761860507
NGC 7172::jw02064-o065_t008_miri_f1000w-sub256::jw01670-o002_t009_miri_f1000w-sub256,NGC 7172,58,100034338,148383977,jw02064-o065_t008_miri_f1000w-sub256,jw01670-o002_t009_miri_f1000w-sub256,JWST,JWST,F1000W,F1000W,MIRI/IMAGE,MIRI/IMAGE,227.42721401620656,exact,1.0,1.4000000000000001,True,2.6179373921487894
NGC 7172::jw02064-o065_t008_miri_f560w-sub256::jw01670-o002_t009_miri_f560w-sub256,NGC 7172,58,100034339,148390147,jw02064-o065_t008_miri_f560w-sub256,jw01670-o002_t009_miri_f560w-sub256,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,227.42446782407933,exact,1.0,1.4000000000000001,True,2.6179371310889894
NGC 7172::jw02064-o015_t008_miri_f560w-sub256::jw02064-o065_t008_miri_f560w-sub256,NGC 7172,58,87625613,100034339,jw02064-o015_t008_miri_f560w-sub256,jw02064-o065_t008_miri_f560w-sub256,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,127.19902758101671,exact,1.0,1.4000000000000001,True,2.60539423654861
NGC 7172::jw02064-o015_t008_miri_f1500w-sub256::jw02064-o065_t008_miri_f1500w-sub256,NGC 7172,58,87625561,100034348,jw02064-o015_t008_miri_f1500w-sub256,jw02064-o065_t008_miri_f1500w-sub256,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,127.19887203703547,exact,1.0,1.4000000000000001,True,2.605394210202102
NGC 3079::jw05627-o018_t006_miri_f1800w-sub128::jw05627-o017_t026_miri_f1800w,NGC 3079,75,233338427,243607777,jw05627-o018_t006_miri_f1800w-sub128,jw05627-o017_t026_miri_f1800w,JWST,JWST,F1800W,F1800W,MIRI/IMAGE,MIRI/IMAGE,77.1900121759245,exact,1.0,1.3839726921138777,True,2.5786302561518375
NGC 3079::jw05627-o018_t006_miri_f1500w-sub128::jw05627-o017_t026_miri_f1500w,NGC 3079,75,233338425,243607772,jw05627-o018_t006_miri_f1500w-sub128,jw05627-o017_t026_miri_f1500w,JWST,JWST,F1500W,F1500W,MIRI/IMAGE,MIRI/IMAGE,77.18373207176046,exact,1.0,1.3839674596218143,True,2.5786232794957527
NGC 3079::jw05627-o018_t006_miri_f1130w-sub128::jw05627-o017_t026_miri_f1130w,NGC 3079,75,233338423,243607782,jw05627-o018_t006_miri_f1130w-sub128,jw05627-o017_t026_miri_f1130w,JWST,JWST,F1130W,F1130W,MIRI/IMAGE,MIRI/IMAGE,77.18008158564771,exact,1.0,1.383964417896357,True,2.5786192238618098
NGC 3079::jw05627-o018_t006_miri_f770w-sub128::jw05627-o017_t026_miri_f770w,NGC 3079,75,233338424,243607764,jw05627-o018_t006_miri_f770w-sub128,jw05627-o017_t026_miri_f770w,JWST,JWST,F770W,F770W,MIRI/IMAGE,MIRI/IMAGE,77.17585782406968,exact,1.0,1.3839608983184883,True,2.578614531091318
NGC 3079::jw05627-o018_t006_miri_f560w-sub128::jw05627-o017_t026_miri_f560w,NGC 3079,75,233338429,243607785,jw05627-o018_t006_miri_f560w-sub128,jw05627-o017_t026_miri_f560w,JWST,JWST,F560W,F560W,MIRI/IMAGE,MIRI/IMAGE,77.16688748842716,exact,1.0,1.3839534228825154,True,2.578604563843354
NGC 1365::jw02107-o021_t003_nircam_clear-f360m::jw01995-o006_t006_nircam_clear-f356w,NGC 1365,2,89120124,172622994,jw02107-o021_t003_nircam_clear-f360m,jw01995-o006_t006_nircam_clear-f356w,JWST,JWST,F360M,F356W,NIRCAM/IMAGE,NIRCAM/IMAGE,380.6726344675917,very_similar,0.85,1.25,True,2.3790845511300502
MESSIER 083::hst_9299_08_acs_wfc_f475w-pol0v_j8e808::hst_17747_25_acs_wfc_f475w_jfgf25,MESSIER 083,25,26325802,378125577,hst_9299_08_acs_wfc_f475w-pol0v_j8e808,hst_17747_25_acs_wfc_f475w_jfgf25,HST,HST,F475W,F475W,ACS/WFC,ACS/WFC,8564.847515770001,exact,1.0,1.4000000000000001,True,2.2966385169535934
MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,25,26349913,378063553,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_17747_26_acs_wfc_f814w_jfgf26,HST,HST,F814W,F814W,ACS/WFC,ACS/WFC,7850.81778171,exact,1.0,1.4000000000000001,True,2.29474851061545
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,89,26428572,355634786,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_03_acs_wfc_f555w_jfjg03,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7370.95530645,exact,1.0,1.4000000000000001,True,2.2933791346790815
NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,89,26428572,355633917,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_04_acs_wfc_f555w_jfjg04,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7369.189056449999,exact,1.0,1.4000000000000001,True,2.2933739314154757
NGC 1309::hst_10497_06_acs_wfc_f555w_j9cb06::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,89,26390871,355634786,hst_10497_06_acs_wfc_f555w_j9cb06,hst_17907_03_acs_wfc_f555w_jfjg03,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7360.8287557099975,exact,1.0,1.4000000000000001,True,2.2933492855528756
NGC 1309::hst_10497_07_acs_wfc_f555w_j9cb07::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,89,26428046,355634786,hst_10497_07_acs_wfc_f555w_j9cb07,hst_17907_03_acs_wfc_f555w_jfjg03,HST,HST,F555W,F555W,ACS/WFC,ACS/WFC,7359.229959409997,exact,1.0,1.4000000000000001,True,2.2933445691716488
