candidate_rank,pair_id,galaxy_name,obs_id_1,obs_id_2,compatibility,baseline_days,pair_score,preflight_reason
52,NGC 7172::jw02064-o015_t008_miri_f560w-sub256::jw01670-o002_t009_miri_f560w-sub256,NGC 7172,jw02064-o015_t008_miri_f560w-sub256,jw01670-o002_t009_miri_f560w-sub256,exact,354.62349540509604,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
53,NGC 3521::jw09233-o002_t001_miri_f560w::jw09258-o010_t002_miri_f560w,NGC 3521,jw09233-o002_t001_miri_f560w,jw09258-o010_t002_miri_f560w,exact,345.3736797569436,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
54,NGC 3521::jw09233-o002_t001_miri_f770w::jw09258-o010_t002_miri_f770w,NGC 3521,jw09233-o002_t001_miri_f770w,jw09258-o010_t002_miri_f770w,exact,345.2238744097267,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
55,NGC 3521::jw09233-o002_t001_miri_ch1-long::jw09258-o010_t002_miri_ch1-long,NGC 3521,jw09233-o002_t001_miri_ch1-long,jw09258-o010_t002_miri_ch1-long,exact,345.1399599074066,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
56,NGC 3521::jw09233-o002_t001_miri_ch1-medium::jw09258-o010_t002_miri_ch1-medium,NGC 3521,jw09233-o002_t001_miri_ch1-medium,jw09258-o010_t002_miri_ch1-medium,exact,345.1399599074066,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
57,NGC 3521::jw09233-o002_t001_miri_ch1-short::jw09258-o010_t002_miri_ch1-short,NGC 3521,jw09233-o002_t001_miri_ch1-short,jw09258-o010_t002_miri_ch1-short,exact,345.1399599074066,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
58,NGC 1097::jw03707-o003_t003_miri_f770w::jw04972-o001_t001_miri_f770w-sub256,NGC 1097,jw03707-o003_t003_miri_f770w,jw04972-o001_t001_miri_f770w-sub256,exact,335.90559777777526,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
59,NGC 1097::jw03707-o004_t003_nircam_clear-f150w::jw04793-o001_t001_nircam_clear-f150w,NGC 1097,jw03707-o004_t003_nircam_clear-f150w,jw04793-o001_t001_nircam_clear-f150w,exact,277.2010314699073,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
60,NGC 1097::jw03707-o004_t003_nircam_clear-f335m::jw04793-o001_t001_nircam_clear-f335m,NGC 1097,jw03707-o004_t003_nircam_clear-f335m,jw04793-o001_t001_nircam_clear-f335m,exact,277.13839907407237,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
61,NGC 1097::jw03707-o004_t003_nircam_clear-f187n::jw04793-o001_t001_nircam_clear-f187n,NGC 1097,jw03707-o004_t003_nircam_clear-f187n,jw04793-o001_t001_nircam_clear-f187n,exact,277.11143318287213,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
62,NGC 5728::jw02064-o013_t007_miri_f560w-sub256::jw01670-o010_t010_miri_f560w-sub256,NGC 5728,jw02064-o013_t007_miri_f560w-sub256,jw01670-o010_t010_miri_f560w-sub256,exact,257.19187990740465,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
63,NGC 5728::jw02064-o013_t007_miri_f1000w-sub256::jw01670-o010_t010_miri_f1000w-sub256,NGC 5728,jw02064-o013_t007_miri_f1000w-sub256,jw01670-o010_t010_miri_f1000w-sub256,exact,257.17016807870095,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
64,NGC 5728::jw02064-o013_t007_miri_f1500w-sub256::jw01670-o010_t010_miri_f1500w-sub256,NGC 5728,jw02064-o013_t007_miri_f1500w-sub256,jw01670-o010_t010_miri_f1500w-sub256,exact,257.14897624999867,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
65,NGC 5728::jw02064-o014_t015_miri_f560w-sub256::jw01670-o010_t010_miri_f560w-sub256,NGC 5728,jw02064-o014_t015_miri_f560w-sub256,jw01670-o010_t010_miri_f560w-sub256,exact,257.1410821759273,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
66,NGC 5728::jw02064-o014_t015_miri_f1000w-sub256::jw01670-o010_t010_miri_f1000w-sub256,NGC 5728,jw02064-o014_t015_miri_f1000w-sub256,jw01670-o010_t010_miri_f1000w-sub256,exact,257.12331849536713,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
67,NGC 5728::jw02064-o014_t015_miri_f1500w-sub256::jw01670-o010_t010_miri_f1500w-sub256,NGC 5728,jw02064-o014_t015_miri_f1500w-sub256,jw01670-o010_t010_miri_f1500w-sub256,exact,257.10609628471866,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
68,NGC 5728::jw02064-o013_t007_miri_f560w-sub256::jw01670-o004_t003_miri_f560w-sub256,NGC 5728,jw02064-o013_t007_miri_f560w-sub256,jw01670-o004_t003_miri_f560w-sub256,exact,256.92748752314947,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
69,NGC 5728::jw02064-o013_t007_miri_f1000w-sub256::jw01670-o004_t003_miri_f1000w-sub256,NGC 5728,jw02064-o013_t007_miri_f1000w-sub256,jw01670-o004_t003_miri_f1000w-sub256,exact,256.9181482754648,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
70,NGC 1792::jw03707-o020_t011_nircam_clear-f150w::jw04793-o006_t006_nircam_clear-f150w,NGC 1792,jw03707-o020_t011_nircam_clear-f150w,jw04793-o006_t006_nircam_clear-f150w,exact,255.79454315971816,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
