candidate_rank,pair_id,galaxy_name,obs_id_1,obs_id_2,compatibility,baseline_days,pair_score,preflight_reason
85,MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_17747_26_acs_wfc_f814w_jfgf26,exact,7850.81778171,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17747_26_acs_wfc_f814w_jfgf26:EXCLUSIVE_ACCESS
86,NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_03_acs_wfc_f555w_jfjg03,exact,7370.95530645,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS
87,NGC 1309::hst_10497_03_acs_wfc_f555w_j9cb03::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_03_acs_wfc_f555w_j9cb03,hst_17907_04_acs_wfc_f555w_jfjg04,exact,7369.189056449999,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS
88,NGC 1309::hst_10497_06_acs_wfc_f555w_j9cb06::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_06_acs_wfc_f555w_j9cb06,hst_17907_03_acs_wfc_f555w_jfjg03,exact,7360.8287557099975,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS
89,NGC 1309::hst_10497_07_acs_wfc_f555w_j9cb07::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_07_acs_wfc_f555w_j9cb07,hst_17907_03_acs_wfc_f555w_jfjg03,exact,7359.229959409997,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS
90,NGC 1309::hst_10497_06_acs_wfc_f555w_j9cb06::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_06_acs_wfc_f555w_j9cb06,hst_17907_04_acs_wfc_f555w_jfjg04,exact,7359.062505709997,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS
91,NGC 1309::hst_10497_07_acs_wfc_f555w_j9cb07::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_07_acs_wfc_f555w_j9cb07,hst_17907_04_acs_wfc_f555w_jfjg04,exact,7357.463709409996,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS
92,NGC 1309::hst_10497_09_acs_wfc_f555w_j9cb09::hst_17907_03_acs_wfc_f555w_jfjg03,NGC 1309,hst_10497_09_acs_wfc_f555w_j9cb09,hst_17907_03_acs_wfc_f555w_jfjg03,exact,7353.818280449996,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_03_acs_wfc_f555w_jfjg03:EXCLUSIVE_ACCESS
93,NGC 1309::hst_10497_09_acs_wfc_f555w_j9cb09::hst_17907_04_acs_wfc_f555w_jfjg04,NGC 1309,hst_10497_09_acs_wfc_f555w_j9cb09,hst_17907_04_acs_wfc_f555w_jfjg04,exact,7352.052030449995,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17907_04_acs_wfc_f555w_jfjg04:EXCLUSIVE_ACCESS
95,MESSIER 083::hst_12513_02_acs_wfc_f814w_jbqc02::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,hst_12513_02_acs_wfc_f814w_jbqc02,hst_17747_26_acs_wfc_f814w_jfgf26,exact,4908.842921819996,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17747_26_acs_wfc_f814w_jfgf26:EXCLUSIVE_ACCESS
