id,x,y,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,source_id,flux_first,err_first,flux_last,err_last,fade_fraction,fade_sigma,matched_candidate_id
46,467.2774021071708,466.9608661541203,0.8463476506340787,-0.08983525009525427,0.026451686973854076,25,15.637684599381899,72.47684179345758,-4.650498151325676,-0.13610073906266779,45,96.57702758731179,1.0114722637394076,-0.6390256749025989,0.924737361723752,1.0066167461441582,70.93577133547662,NGC_5861_hst_15145_78_wfc3_ir_f160w_idgg78_hst_16250_14_wfc3_ir_f160w_iebs14_0025
71,465.94783964588595,616.4684486281147,0.6974939674584647,0.07337565268203983,0.08885127304802343,25,249.17666777394683,1596.9623074447375,-8.008236664388251,-3.1791689237017513,70,1636.8152256006715,2.4723418122556784,1557.3674242054692,2.2168356574423274,0.04853803908504506,23.925248519308607,
79,150.88864942403902,816.8307123237703,0.7035752333834933,-0.10163756361108225,-0.07386831454804901,25,189.360270532348,1172.1547943397902,-7.672462420605485,-2.894431805799394,78,1104.1287380212777,1.8261083375230815,1055.3350496260582,1.625981052168805,0.04419202826172541,19.955749263662085,
34,578.6023014279272,379.3786700517668,0.7446388768682077,0.36163920841890923,-0.06781817084849495,25,33.88344709660801,204.5233155747524,-5.776857061399544,-0.9782333432403154,33,214.3545655812524,0.4367557858009308,205.8791456609245,0.3401941588763366,0.03953925542638004,15.309278105298684,
39,187.82606017528724,449.6904049485413,0.7228872315425691,-0.45822207093232853,-0.17334583474583598,25,341.4439405658463,2523.044491810892,-8.504812272526191,-3.4952824222557144,38,2927.8565117840258,171.1523239215583,117.05674313729818,126.05356224760314,0.9600196448609525,13.223432746956723,
59,129.4351497446491,484.1971121695825,0.11956664214802463,-1.1636249351315269,-0.9239852876342287,25,182.3490766742447,3114.439561611154,-8.733449768581306,-3.0955982186194864,58,2675.3364322357916,218.98135459493616,6.310056937574018,57.84491007079119,0.9976413968495541,11.784169419441751,
47,156.42443703390228,468.54332533390215,0.5883015795534443,-0.7764235974680548,-0.5738910409408902,25,229.39442579533846,1795.3393957848327,-8.135366402179196,-3.2403372927394063,46,1658.6075411737909,171.07001010755118,145.9317983413102,56.70841713823776,0.9120154739933024,8.39329584335854,
61,127.06595296950726,485.73751226423553,0.3218542384203196,-0.08627334830369972,0.4940908802760412,25,185.21487562444003,2315.104076535877,-8.41142629923722,-3.0666840568835236,60,2400.864289005059,297.96530400151863,17.71013928357436,72.83603229869678,0.9926234317513575,7.769338974869121,
55,142.67729049044422,477.2091240801032,0.54493285364605,0.6445393858240144,0.39342064347333133,25,191.8742689349869,1934.6813862289594,-8.216523633211697,-2.9295944396318507,54,2000.4172808863975,216.56068913168195,155.76499150315374,102.66586955721371,0.9221337502972713,7.69682810637687,
57,133.23099899120498,483.038045088029,0.7987508657815087,-0.5964217763849922,0.5819903205019389,25,223.14720289494784,1896.596859623312,-8.194937567802343,-3.000237412362674,56,2861.99774896425,319.88479845257274,405.98347850053955,50.71207683456246,0.8581468211680237,7.583108744404681,
82,73.10129875903013,835.2113701518821,0.7101913380366373,-0.06261880060915022,-0.0023299465488771606,25,66.41539441586009,395.6172346758641,-6.493188007373433,-1.7721042068050745,81,370.38840035822403,2.0281571401640517,348.65842864820667,2.0318479543153445,0.05866806759877219,7.569155035318383,
22,562.833376654515,230.9592912942751,0.22094564468039404,0.8380596698444659,-1.8016412772124706,25,31.32640204815968,621.2929864284753,-6.983241127584197,-0.30401882827825816,21,841.0540570037646,108.33327758640887,83.87999066963083,49.42802544226959,0.9002680149139862,6.3587159712447825,
27,565.7570569778451,231.61160822701552,0.5658536758497478,-0.08305822989097053,-0.16686915117641132,25,49.28862516667637,661.1737640537804,-7.050789030152592,-1.0117806260399733,26,900.7096983107439,118.82732455570617,129.30349873249654,38.294562503885594,0.8564426485303737,6.17888517271862,
36,326.20896389540604,430.80160366511905,0.7825210364775024,-0.1840682662434585,-0.06781578929071232,25,25.961194152037226,149.63772199873796,-5.437602720298507,-0.6795198462662726,35,136.33385792276897,0.622464340809338,131.4918175681877,0.5125914965855559,0.035516051759675094,6.004833203916088,
38,191.67675995084028,447.1986572111891,0.4919740155021421,-1.1461662205539935,-0.21370773240639782,25,158.03976576115878,1368.6501132388817,-7.840731094200906,-2.9006100629725964,37,1581.9632436171203,271.57038202078957,62.67619929987465,20.92082105820299,0.960380748697696,5.577923510318991,
86,437.60696551827874,911.636557439349,0.6644173526009179,0.08386471605216328,-0.1007493052688945,25,119.07861188405185,914.636810575565,-7.403121690151947,-2.319841484005787,85,751.615603515492,3.9190254552019153,722.773743925879,3.7382449870374295,0.03837315172105593,5.325290075175462,
85,162.46403618870556,876.6987711115472,0.812966988686587,-0.5242324357760692,-0.11790183205761014,25,93.22073499944004,568.146890794106,-6.886151585817432,-2.013939163833826,84,478.77154049556907,2.844002903459705,461.8648229049273,2.538528766562304,0.035312703785905675,4.434957058699111,
40,179.1258584555619,455.2680393374927,0.5779398930228057,-0.3584890331390208,-0.14872229241893387,25,384.42157118108065,3711.9421164950645,-8.924002988180916,-3.5682020325222705,39,2586.4025597726077,150.06603753680108,1852.1137213092427,105.73754572019698,0.2839035384066131,3.999911687873648,
51,148.28208065064686,473.2770989773129,0.4262053600536739,-0.4335314806853151,-0.8404720521810513,25,149.4651350238541,1286.181115233184,-7.773255321563788,-2.9114440655593192,50,1245.880194254211,219.46275448529587,454.5225132073085,39.37270839309918,0.6351795980837567,3.5492205237885353,
76,104.36224675901138,707.9486536160172,0.7885478926585721,-0.2525473854917503,-0.07868655495261398,25,17.364699766896095,152.29673516513262,-5.456726483307849,-0.03436387185537365,75,92.29848738695256,0.8944318079946748,88.07484012896596,0.8196945728516741,0.045760741888210665,3.481347602490816,
35,647.5415472798816,426.9596261118613,0.704439780460824,0.028500223714886915,-0.10292840073542785,25,22.855605528614845,200.62704206198507,-5.755973675484373,-0.4013682145076148,34,186.49209919185807,1.5280579825255263,179.0609255637537,1.5077457568329555,0.03984712307012739,3.461696539031853,
18,571.5692657117733,227.43278347522,0.663158922084403,0.44005959803802347,-0.09684847221202572,25,44.70135351034126,646.9112426777275,-7.027111747036841,-0.6302822589504862,17,537.9951170980024,112.71545486467417,98.93648709594538,59.997675338826824,0.8161015147690962,3.4384985416429728,
77,124.92688105059383,784.1733122075211,0.6669301243799276,-0.24948066605365177,-0.03015764229021048,25,15.4735087436941,141.55173452863048,-5.377287988590451,-0.031315641946391186,76,84.24930836735453,1.2178644200220738,79.04824868064503,1.0567896859695733,0.06173415292658757,3.225561414388163,
13,570.1791093712454,225.0238360023062,0.6673642990598981,0.6372409306246789,1.013600024196323,25,52.315482612120476,751.7282653413645,-7.190152200581976,-0.9179229646061853,12,559.3933098092714,110.54384198155776,173.17363198870302,55.37846815224405,0.6904259865965368,3.1237574318250756,
48,150.26315670005587,471.6126965676148,0.8214394894060479,-1.2180087876387804,-0.7459076764994214,25,160.28714124944003,990.8003646561074,-7.489965394381052,-2.7567716800255155,47,791.1687174625803,213.61346842232388,141.49907160847826,35.936081469158424,0.8211518371678154,2.9991886387125235,
37,200.9928578233211,441.32802887902045,0.9430206597994072,0.10623614677108088,0.609994662961172,25,65.28952924992832,204.02535640624095,-5.774210362964068,-1.7643039492560708,36,129.08526800062964,40.11154191158894,9.853738483816192,10.594088585298072,0.923664887276152,2.8739497295484786,
42,174.56653404639118,457.49143104606304,0.8940779484525888,-1.0044551726035014,0.03342176414998396,25,225.77823011662753,1474.0630213090476,-7.921290128790072,-3.0001935854662043,41,1302.5611193717623,336.29254096945823,186.3776150437745,238.36757631445735,0.8569144953952976,2.7078453796029502,
83,422.34653852074763,843.6578432013416,0.7716286800183765,-0.10261695749176619,0.10072936218238064,25,23.45272962834629,268.96277032157576,-6.074230423399342,-0.19187906469176894,82,102.73938530184012,2.8093961630828015,92.87451224733353,2.5694882870131663,0.09601841616556672,2.5910914292495386,
25,581.3201325664769,231.04529991982528,0.2173582377674073,-0.38584287172587056,-1.9004335369035867,25,28.18133987166442,547.2610392497618,-6.845486327093303,-0.610698540145893,24,332.2776502121528,124.47454255724504,22.92598426793975,18.334862232586374,0.9310035319760388,2.4587304467348394,
56,140.63847203183454,479.5497567740419,0.9626859036027119,-1.2853666880893317,-1.5330743790337489,25,95.17734459147317,960.5617049926111,-7.4563131712427015,-2.0369363403056555,55,915.0400836244778,210.88535857538568,352.80585755612657,114.14087373126834,0.6144367182706784,2.3446630335161305,
21,558.011787214116,230.5869342206247,0.42042745377681606,0.10911894173850371,-0.19904288669748207,25,32.992753556069054,427.04789149098616,-6.5761914547988845,-0.8537851887894128,20,425.61214149731387,84.98892439291416,185.6149370646562,57.39944454068303,0.5638871193578775,2.340148675032914,
72,47.702274922285696,645.3644917930279,0.6958609897720319,0.7479490626212028,-0.16576071487246044,25,25.197504065219356,324.477759850063,-6.277962337545134,-0.19671788557766187,71,243.2809210246688,5.611894657845316,226.26342074585864,5.164778175290605,0.06994999939631341,2.2312724255070293,
78,426.5102251163559,800.6935765001446,0.7039538379345365,-0.8468082058726553,-0.3751732690274256,25,26.509974882862892,303.67762103177256,-6.20603197139496,-0.35779343756802484,77,160.17205617186255,2.794960280916861,151.74762760720105,2.700666695130437,0.05259611923581853,2.1675757598863203,
31,551.9040673288607,234.46190594301964,0.872173566340344,0.3125804460417714,0.40271589130356067,25,24.703727426178023,37.55175858281102,-3.936575700549345,-0.8250008330392127,30,116.99695277751769,35.254390262399816,-0.11017676426673617,45.59104982073413,1.0009417062722672,2.031990665714737,
73,168.58410353092864,665.5394386318225,0.6965516979045462,-0.7855161767853533,-0.08096233664549725,25,18.73277227666172,183.93922934377093,-5.661685906436961,-0.14391616304930546,72,98.28365226597285,1.9001295556916864,93.26648169203847,1.8221840295208929,0.05104786460679167,1.905749048484261,
