pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_residual_detections,n_survivors,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,scale_factor_post_to_pre,n_scale_sources,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,n_fade_survivors,n_brighten_survivors,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2
MESSIER 074::hst_13364_20_wfc3_uvis_f336w_icdm20::hst_17932_09_wfc3_uvis_f336w_ifkj09,MESSIER 074,hst_13364_20_wfc3_uvis_f336w_icdm20,hst_17932_09_wfc3_uvis_f336w_ifkj09,F336W,F336W,exact,4330.60247844,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16500_01_wfc3_uvis_f555w_iejn01,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16500_01_wfc3_uvis_f555w_iejn01,F555W,F555W,exact,4212.60654827,1.4000000000000001,SCANNED,,493,0,0.0,0.0,,0.0,1.0,5.0,0.0,0.9895470383275261,False,0.0,0.0,26508855.0,60942197.0,hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,hst_16500_01_wfc3_uvis_f555w_iejn01_drc.fits,mast:HST/product/hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,mast:HST/product/hst_16500_01_wfc3_uvis_f555w_iejn01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_11646_01_wfc3_uvis_f555w_ib2q01/hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16500_01_wfc3_uvis_f555w_iejn01/hst_16500_01_wfc3_uvis_f555w_iejn01_drc.fits,181.0,181.0,SCI,SCI
NGC 1097::hst_13413_01_wfc3_uvis_f657n_icc501::hst_17457_04_wfc3_uvis_f657n_if8k04,NGC 1097,hst_13413_01_wfc3_uvis_f657n_icc501,hst_17457_04_wfc3_uvis_f657n_if8k04,F657N,F657N,exact,4199.112101659994,1.4000000000000001,SCANNED,,500,0,0.37744508481500816,0.035402498973780894,0.1307917327307025,176.0,1.002292916741693,117.0,0.863481228668942,0.051194539249146756,False,0.0,0.0,26602179.0,309493197.0,hst_13413_01_wfc3_uvis_f657n_icc501_drc.fits,hst_17457_04_wfc3_uvis_f657n_if8k04_drc.fits,mast:HST/product/hst_13413_01_wfc3_uvis_f657n_icc501_drc.fits,mast:HST/product/hst_17457_04_wfc3_uvis_f657n_if8k04_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_13413_01_wfc3_uvis_f657n_icc501/hst_13413_01_wfc3_uvis_f657n_icc501_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17457_04_wfc3_uvis_f657n_if8k04/hst_17457_04_wfc3_uvis_f657n_if8k04_drc.fits,181.0,181.0,SCI,SCI
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_31_wfc3_uvis_f555w_if8731,NGC 4414,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_31_wfc3_uvis_f555w_if8731,F555W,F555W,exact,3963.153147539997,1.4000000000000001,SCANNED,,31,0,0.0,0.0,,0.0,1.0,1.0,0.0,0.6538461538461539,False,0.0,0.0,26579158.0,215035418.0,hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,hst_17413_31_wfc3_uvis_f555w_if8731_drc.fits,mast:HST/product/hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,mast:HST/product/hst_17413_31_wfc3_uvis_f555w_if8731_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12888_01_wfc3_uvis_f555w_ibzv01/hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17413_31_wfc3_uvis_f555w_if8731/hst_17413_31_wfc3_uvis_f555w_if8731_drc.fits,181.0,181.0,SCI,SCI
MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_16075_01_wfc3_uvis_f555w_ie9801,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_16075_01_wfc3_uvis_f555w_ie9801,F555W,F555W,exact,3843.6295484599977,1.4000000000000001,SCANNED,,491,0,0.19265632454107617,-0.5727629745992999,0.1217296288317023,218.0,0.9167167422775079,123.0,0.7952218430034129,0.04436860068259386,False,0.0,0.0,26508855.0,26713019.0,hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,hst_16075_01_wfc3_uvis_f555w_ie9801_drc.fits,mast:HST/product/hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,mast:HST/product/hst_16075_01_wfc3_uvis_f555w_ie9801_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_11646_01_wfc3_uvis_f555w_ib2q01/hst_11646_01_wfc3_uvis_f555w_ib2q01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16075_01_wfc3_uvis_f555w_ie9801/hst_16075_01_wfc3_uvis_f555w_ie9801_drc.fits,181.0,181.0,SCI,SCI
NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17413_30_wfc3_uvis_f555w_if8730,NGC 4414,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17413_30_wfc3_uvis_f555w_if8730,F555W,F555W,exact,3828.319923789997,1.4000000000000001,SCANNED,,31,0,0.0,0.0,,0.0,1.0,2.0,0.0,0.7142857142857143,False,0.0,0.0,26579158.0,201407166.0,hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,hst_17413_30_wfc3_uvis_f555w_if8730_drc.fits,mast:HST/product/hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,mast:HST/product/hst_17413_30_wfc3_uvis_f555w_if8730_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12888_01_wfc3_uvis_f555w_ibzv01/hst_12888_01_wfc3_uvis_f555w_ibzv01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17413_30_wfc3_uvis_f555w_if8730/hst_17413_30_wfc3_uvis_f555w_if8730_drc.fits,181.0,181.0,SCI,SCI
MESSIER 099::hst_12118_04_wfc3_uvis_f814w_ibfx04::hst_15654_24_wfc3_uvis_f814w_idxr24,MESSIER 099,hst_12118_04_wfc3_uvis_f814w_ibfx04,hst_15654_24_wfc3_uvis_f814w_idxr24,F814W,F814W,exact,3558.0875048499947,1.4000000000000001,SCANNED,,494,0,0.723319358698518,-1.1710190524481732,0.3389920053295659,73.0,0.9398138515332466,89.0,0.7109375,0.1171875,False,0.0,0.0,26571628.0,26698324.0,hst_12118_04_wfc3_uvis_f814w_ibfx04_drc.fits,hst_15654_24_wfc3_uvis_f814w_idxr24_drc.fits,mast:HST/product/hst_12118_04_wfc3_uvis_f814w_ibfx04_drc.fits,mast:HST/product/hst_15654_24_wfc3_uvis_f814w_idxr24_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12118_04_wfc3_uvis_f814w_ibfx04/hst_12118_04_wfc3_uvis_f814w_ibfx04_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_24_wfc3_uvis_f814w_idxr24/hst_15654_24_wfc3_uvis_f814w_idxr24_drc.fits,181.0,181.0,SCI,SCI
NGC 4536::hst_11570_24_wfc3_uvis_f555w_ib1f24::hst_15654_29_wfc3_uvis_f555w_idxr29,NGC 4536,hst_11570_24_wfc3_uvis_f555w_ib1f24,hst_15654_29_wfc3_uvis_f555w_idxr29,F555W,F555W,exact,3534.4128637299946,1.4000000000000001,SCANNED,,498,0,-0.5555744221665009,-0.5306671977377846,0.1387270573321246,226.0,0.8780048837389883,211.0,0.9,0.04,False,0.0,0.0,26506213.0,26695642.0,hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.fits,hst_15654_29_wfc3_uvis_f555w_idxr29_drc.fits,mast:HST/product/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.fits,mast:HST/product/hst_15654_29_wfc3_uvis_f555w_idxr29_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_11570_24_wfc3_uvis_f555w_ib1f24/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_29_wfc3_uvis_f555w_idxr29/hst_15654_29_wfc3_uvis_f555w_idxr29_drc.fits,181.0,181.0,SCI,SCI
NGC 1448::hst_12880_16_wfc3_ir_f160w_ic1316::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,hst_12880_16_wfc3_ir_f160w_ic1316,hst_17000_06_wfc3_ir_f160w_iev206,F160W,F160W,exact,3428.9285568699997,1.4000000000000001,SCANNED,,372,0,0.0,0.0,,0.0,1.0,1.0,0.0625,0.9375,False,0.0,0.0,26583000.0,116143396.0,hst_12880_16_wfc3_ir_f160w_ic1316_drz.fits,hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,mast:HST/product/hst_12880_16_wfc3_ir_f160w_ic1316_drz.fits,mast:HST/product/hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12880_16_wfc3_ir_f160w_ic1316/hst_12880_16_wfc3_ir_f160w_ic1316_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17000_06_wfc3_ir_f160w_iev206/hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,181.0,181.0,SCI,SCI
NGC 1448::hst_12880_20_wfc3_ir_f160w_ic1320::hst_17000_06_wfc3_ir_f160w_iev206,NGC 1448,hst_12880_20_wfc3_ir_f160w_ic1320,hst_17000_06_wfc3_ir_f160w_iev206,F160W,F160W,exact,3402.4069358900015,1.4000000000000001,SCANNED,,403,0,-0.78520020854819,0.19158254975502587,1.409080726844317,10.0,1.0,0.0,0.0,1.0,False,0.0,0.0,26583618.0,116143396.0,hst_12880_20_wfc3_ir_f160w_ic1320_drz.fits,hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,mast:HST/product/hst_12880_20_wfc3_ir_f160w_ic1320_drz.fits,mast:HST/product/hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12880_20_wfc3_ir_f160w_ic1320/hst_12880_20_wfc3_ir_f160w_ic1320_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17000_06_wfc3_ir_f160w_iev206/hst_17000_06_wfc3_ir_f160w_iev206_drz.fits,181.0,181.0,SCI,SCI
