pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_residual_detections,n_survivors
IC 2163::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,IC 2163,hst_13787_05_wfc3_uvis_f555w_ickj05,hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,F555W,F555W,exact,2333.795166759999,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 2207::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_16239_28_wfc3_uvis_f555w_ieec28,NGC 2207,hst_13787_05_wfc3_uvis_f555w_ickj05,hst_16239_28_wfc3_uvis_f555w_ieec28,F555W,F555W,exact,2333.795166759999,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,MESSIER 066,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,exact,2203.6784212899947,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,MESSIER 066,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,exact,2203.5971594500006,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 1365::hst_12880_90_wfc3_uvis_f555w_ic1390::hst_15654_09_wfc3_uvis_f555w_idxr09,NGC 1365,hst_12880_90_wfc3_uvis_f555w_ic1390,hst_15654_09_wfc3_uvis_f555w_idxr09,F555W,F555W,exact,2174.86653336,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
6dF J0245599-073443::hst_11575_02_acs_wfc_f814w_jb4u02::hst_14226_01_acs_wfc_f814w_jcuc01,6dF J0245599-073443,hst_11575_02_acs_wfc_f814w_jb4u02,hst_14226_01_acs_wfc_f814w_jcuc01,F814W,F814W,exact,2139.9010605399963,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
MESSIER 077::hst_15151_04_wfc3_uvis_f555w_idm104::hst_17502_01_wfc3_uvis_f555w_ifab01,MESSIER 077,hst_15151_04_wfc3_uvis_f555w_idm104,hst_17502_01_wfc3_uvis_f555w_ifab01,F555W,F555W,exact,1904.6113411999977,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
MESSIER 077::hst_15151_04_wfc3_uvis_f814w_idm104::hst_17502_01_wfc3_uvis_f814w_ifab01,MESSIER 077,hst_15151_04_wfc3_uvis_f814w_idm104,hst_17502_01_wfc3_uvis_f814w_ifab01,F814W,F814W,exact,1904.5682619500003,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 6744::hst_13364_0e_wfc3_uvis_f336w_icdm0e::hst_15654_41_wfc3_uvis_f336w_idxr41,NGC 6744,hst_13364_0e_wfc3_uvis_f336w_icdm0e,hst_15654_41_wfc3_uvis_f336w_idxr41,F336W,F336W,exact,1735.8020050900013,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 6744::hst_13364_0e_wfc3_uvis_f438w_icdm0e::hst_15654_41_wfc3_uvis_f438w_idxr41,NGC 6744,hst_13364_0e_wfc3_uvis_f438w_icdm0e,hst_15654_41_wfc3_uvis_f438w_idxr41,F438W,F438W,exact,1735.778093599998,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 1365::hst_skycell-p0570x07y02_acs_wfc_f814w_all::hst_15645_41_acs_wfc_f814w_jdxk41,NGC 1365,hst_skycell-p0570x07y02_acs_wfc_f814w_all,hst_15645_41_acs_wfc_f814w_jdxk41,F814W,F814W,exact,1658.6571098599961,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 5861::hst_15145_74_wfc3_ir_f160w_idgg74::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,hst_15145_74_wfc3_ir_f160w_idgg74,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,exact,1494.5039734999955,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 5861::hst_15145_78_wfc3_ir_f160w_idgg78::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,hst_15145_78_wfc3_ir_f160w_idgg78,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,exact,1456.6248059200007,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 4536::hst_13691_23_acs_wfc_f814w_jcnw23::hst_15654_30_acs_wfc_f814w_jdxr30,NGC 4536,hst_13691_23_acs_wfc_f814w_jcnw23,hst_15654_30_acs_wfc_f814w_jdxr30,F814W,F814W,exact,1453.9718394600059,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
NGC 7331::hst_15166_03_wfc3_uvis_f336w_idi103::hst_16179_32_wfc3_uvis_f336w_ieb332,NGC 7331,hst_15166_03_wfc3_uvis_f336w_idi103,hst_16179_32_wfc3_uvis_f336w_ieb332,F336W,F336W,exact,1314.168088190003,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
MESSIER 061::hst_14779_70_wfc3_uvis_f275w_id7670::hst_15654_26_wfc3_uvis_f275w_idxr26,MESSIER 061,hst_14779_70_wfc3_uvis_f275w_id7670,hst_15654_26_wfc3_uvis_f275w_idxr26,F275W,F275W,exact,1125.5455660999942,1.4000000000000001,FAILED,Target center outside usable footprint before reprojection.,0,0
