[2026-03-11T00:17:09.702157Z] run start mode=difference_upgrade resume=True sign_mode=fade
[2026-03-11T00:17:37.306007Z] pair skipped pair_id=NGC 7479::hst_11575_53_acs_wfc_f814w_jb4u53::hst_15645_09_acs_wfc_f814w_jdxk09 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:39.133279Z] pair skipped pair_id=NGC 3147::hst_15145_32_wfc3_uvis_f555w_idgg32::hst_17846_03_wfc3_uvis_f555w_ifgg03 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:40.385425Z] pair skipped pair_id=NGC 7331::hst_14668_04_wfc3_uvis_f555w_id9604::hst_17506_25_wfc3_uvis_f555w_if8c25 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:41.197679Z] pair skipped pair_id=NGC 3147::hst_15145_3a_wfc3_uvis_f555w_idgg3a::hst_17846_03_wfc3_uvis_f555w_ifgg03 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:42.876659Z] pair skipped pair_id=IC 2163::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_skycell-p0818x12y14_wfc3_uvis_f555w_all reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:43.953292Z] pair skipped pair_id=NGC 2207::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_16239_28_wfc3_uvis_f555w_ieec28 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:45.747930Z] pair skipped pair_id=MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:47.285453Z] pair skipped pair_id=MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:51.502111Z] pair skipped pair_id=NGC 1365::hst_12880_90_wfc3_uvis_f555w_ic1390::hst_15654_09_wfc3_uvis_f555w_idxr09 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:52.377450Z] pair skipped pair_id=6dF J0245599-073443::hst_11575_02_acs_wfc_f814w_jb4u02::hst_14226_01_acs_wfc_f814w_jcuc01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:53.615186Z] pair skipped pair_id=MESSIER 077::hst_15151_04_wfc3_uvis_f555w_idm104::hst_17502_01_wfc3_uvis_f555w_ifab01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:55.472204Z] pair skipped pair_id=MESSIER 077::hst_15151_04_wfc3_uvis_f814w_idm104::hst_17502_01_wfc3_uvis_f814w_ifab01 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:57.458097Z] pair skipped pair_id=NGC 6744::hst_13364_0e_wfc3_uvis_f336w_icdm0e::hst_15654_41_wfc3_uvis_f336w_idxr41 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:17:59.774815Z] pair skipped pair_id=NGC 6744::hst_13364_0e_wfc3_uvis_f438w_icdm0e::hst_15654_41_wfc3_uvis_f438w_idxr41 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:02.155886Z] pair skipped pair_id=NGC 1365::hst_skycell-p0570x07y02_acs_wfc_f814w_all::hst_15645_41_acs_wfc_f814w_jdxk41 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:03.143350Z] pair skipped pair_id=NGC 5861::hst_15145_74_wfc3_ir_f160w_idgg74::hst_16250_14_wfc3_ir_f160w_iebs14 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:03.461793Z] pair skipped pair_id=NGC 5861::hst_15145_78_wfc3_ir_f160w_idgg78::hst_16250_14_wfc3_ir_f160w_iebs14 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:06.370781Z] pair skipped pair_id=NGC 4536::hst_13691_23_acs_wfc_f814w_jcnw23::hst_15654_30_acs_wfc_f814w_jdxr30 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:08.274539Z] pair skipped pair_id=NGC 7331::hst_15166_03_wfc3_uvis_f336w_idi103::hst_16179_32_wfc3_uvis_f336w_ieb332 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:11.835052Z] pair skipped pair_id=MESSIER 061::hst_14779_70_wfc3_uvis_f275w_id7670::hst_15654_26_wfc3_uvis_f275w_idxr26 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:20.435894Z] pair skipped pair_id=NGC 4388::hst_skycell-p1636x18y05_acs_wfc_f814w_all::hst_10438_04_acs_wfc_f814w_j96l04 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:20.967719Z] pair skipped pair_id=NGC 1964::hst_16234_75_wfc3_ir_g141_ieel75ch::hst_17000_05_wfc3_ir_g141_iev205fl reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:21.241717Z] pair skipped pair_id=NGC 1964::hst_16234_76_wfc3_ir_g141_ieel76gt::hst_17000_05_wfc3_ir_g141_iev205fl reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:22.354061Z] pair skipped pair_id=NGC 5427::hst_17191_13_wfc3_uvis_f555w_iex613::hst_17413_41_wfc3_uvis_f555w_if8741 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
