stage,filter_name,wavelength_um,flux_jy,err_jy,n_epochs
post,F275W,0.275,-1.3026730407722415e-07,3.70789621701719e-08,1
post,F438W,0.438,3.6574908587500544e-07,1.6317951354759426e-08,1
post,F555W,0.555,3.463399924690901e-07,8.787531946962931e-09,1
post,F814W,0.814,2.2178333725546588e-07,1.7736011303147968e-08,1
post,F090W,0.9,1.8396153215446714e-07,1.2539441150115534e-08,1
post,F110W,1.1,9.362847062861392e-08,9.870001529859433e-08,1
post,F150W,1.5,2.0294338672286823e-07,2.802823033064885e-08,1
post,F160W,1.6,-6.897955494980503e-08,1.6189457927884279e-07,1
post,F277W,2.77,1.9900057209984905e-08,8.825722852408227e-08,1
pre,F350LP,0.35,4.9009941995840636e-05,5.9232419212803004e-09,7
pre,F555W,0.555,7.752916559938872e-05,2.5393571119610867e-08,1
pre,F814W,0.814,5.858922978192975e-05,2.3700516553969225e-08,2
pre,F160W,1.6,1.3952016987468945e-05,8.57538478771423e-08,4
