cluster_id,galaxy_name,ra_deg,dec_deg,n_members,n_pass_members,n_review_members,n_support_pairs,n_support_filters,n_support_instruments,detection_baseline_span_days,member_diff_sigma_max,member_diff_sigma_minmax,member_diff_sigma_median,member_ratio_median,member_ratio_min,member_ratio_max,member_severe_fraction,member_partial_fraction,member_pre_snr_median,member_post_snr_median,member_blend_risk_median,member_crowding_median,member_edge_distance_median,member_registration_residual_median,member_registration_matches_median,member_pair_stable_fraction_median,member_pair_extreme_fade_fraction_median,member_centroid_scatter_arcsec,member_reason_codes_json,member_warning_flags_json,member_candidate_ids_json,member_pair_ids_json,forced_n_pairs_considered,forced_n_pairs_measured,forced_n_no_coverage,forced_n_masked_or_edge,forced_n_pair_prep_failed,forced_positive_fraction,forced_severe_fraction,forced_partial_fraction,forced_return_fraction,forced_ratio_median,forced_ratio_iqr,forced_diff_sigma_median,forced_diff_sigma_max,forced_registration_residual_median,forced_registration_matches_median,forced_pair_stable_fraction_median,forced_pair_extreme_fade_fraction_median,forced_baseline_span_days,forced_late_fade_fraction,forced_late_return_fraction,optical_fade_support,nir_fade_support,mir_fade_support,optical_measured_pairs,nir_measured_pairs,mir_measured_pairs,n_pairs_selected_galaxy,pair_failure_fraction_galaxy,pair_skip_fraction_galaxy,support_pair_score,member_signal_score,member_ratio_loss_score,pass_fraction,member_pre_snr_score,forced_measurement_score,measured_fraction_score,forced_ratio_loss_score,ratio_consistency_score,member_reg_score,forced_reg_score,anchor_score,cluster_scatter_penalty,pair_stability_score,pair_extreme_penalty,warning_penalty,blend_penalty,crowding_penalty,edge_penalty,filter_diversity_score,baseline_span_score,has_ir_coverage,multi_band_export_support,dust_bias_score,detector_confidence,registration_confidence,subtraction_cleanliness,coverage_completeness,forced_photometry_coherence,fade_persistence,rebrightening_penalty,partial_branch_score,artifact_penalty,dust_survivor_score,systematic_risk,unresolved_variability_score,export_failure_score,branch_rank_raw,branch_rank_score,benchmark_recovery_fraction,benchmark_median_recovered_sep_arcsec,benchmark_guardrail_pass,branch_class,branch_confidence,reason_codes_json,branch_rank
MESSIER_066_branch_0002,MESSIER 066,170.07040843508616,12.97975480745727,4,0,4,4,3,1,2203.745493139999,65.35795602194861,53.866944563123425,53.57909386439762,0.41839100474057545,0.3609912537323431,0.4380350402266303,0.0,1.0,42.42609679412423,18.283540993735233,0.0,0.0,148.1956282138446,0.1531054303894257,238.0,0.939645390070922,0.0070921985815602835,0.015282799070681322,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_hst_12968_01_wfc3_uvis_f438w_ic0h01_hst_15654_22_wfc3_uvis_f438w_idxr22_fade_0013"", ""MESSIER_066_hst_12968_01_wfc3_uvis_f814w_ic0h01_hst_15654_22_wfc3_uvis_f814w_idxr22_fade_0005"", ""MESSIER_066_hst_13477_03_wfc3_uvis_f555w_ic8503_hst_15654_22_wfc3_uvis_f555w_idxr22_fade_0027"", ""MESSIER_066_hst_13477_03_wfc3_uvis_f814w_ic8503_hst_15654_22_wfc3_uvis_f814w_idxr22_fade_0023""]","[""MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22"", ""MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22"", ""MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22"", ""MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22""]",6,6,0,0,0,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.41431048407779425,0.042577841350870727,47.07863413594177,60.20302383328241,0.1531054303894257,232.0,0.931696672122204,0.0070921985815602835,2203.6784212899947,1.0,0.0,0.6,0.5,0.0,5.0,1.0,0.0,6,0.0,0.0,1.0,0.9769425411046354,0.5816089952594246,0.0,1.0,1.0,1.0,0.5856895159222058,0.9716147724327528,0.925948263248062,0.8350265490763582,0.9481345112528633,0.10118807596281065,0.9360684669939989,0.0070921985815602835,0.0,0.0,0.0,0.0,1.0,1.0,True,0.5,0.09999999999999998,0.8233369909404289,0.9012273472155445,0.9737250548684382,1.0,0.8248884383078801,0.6666666666666667,0.09999999999999999,0.878433755716464,0.029994109312089914,0.16499999999999998,0.06500632013257959,0.13668897900509064,0.8414898404691498,1.2376255620535441,1.0,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""DETECTOR_SIGNAL_STRONG"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""MULTI_PAIR_LOCALIZATION"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",1
MESSIER_101_branch_0020,MESSIER 101,210.75867688851858,54.29984579151689,1,0,1,1,1,1,851.3008862037022,134.27662150021465,99.64771096929853,99.64771096929853,0.21569487841182608,0.21569487841182608,0.21569487841182608,0.0,1.0,41.600803676369246,10.208859279818487,0.0,0.0,235.64804263986576,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0019""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.2156948784190293,0.0,134.27662149948713,134.27662149948713,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.7843051215881739,0.0,1.0,0.0,0.14285714285714285,0.7843051215809707,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5141166145905809,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.8082332291794331,0.6204697988407347,0.0,0.8249189334740886,0.014284851273658278,0.0,0.08709049258277012,0.2959723018286399,0.7461120471913726,1.1606267389398748,0.9379748097805586,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",2
MESSIER_101_branch_0003,MESSIER 101,210.76541644960562,54.3024604075647,1,0,1,1,1,1,851.3008862037022,309.22253985407764,205.15403342332178,205.15403342332178,0.23377741068802785,0.23377741068802785,0.23377741068802785,0.0,1.0,242.06712185237006,54.73875520955006,0.0,0.0,270.6325922722539,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0036""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.23377741070402364,0.0,309.2225398546066,309.2225398546066,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.7662225893119722,0.0,1.0,0.0,0.14285714285714285,0.7662225892959764,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5119467107174367,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.8038934214310344,0.6204697988407347,0.0,0.8240509719244089,0.014284851273658278,0.0,0.08741597816374175,0.29684026337831965,0.744853502944569,1.15874434732931,0.9364584788420921,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",3
MESSIER_101_branch_0009,MESSIER 101,210.75671755138762,54.32110137815517,1,0,1,1,1,1,851.3008862037022,216.93015665721583,140.9681969900356,140.9681969900356,0.26321326481305535,0.26321326481305535,0.26321326481305535,0.0,1.0,77.30499778854823,22.74443620136711,0.0,0.0,313.3384751351165,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0068""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.2679461872286428,0.0,216.93015665565835,216.93015665565835,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.7367867351869446,0.0,1.0,0.0,0.14285714285714285,0.7320538127713572,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5084144082224333,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7956929150651258,0.6204697988407347,0.0,0.8224108706512272,0.014284851273658278,0.0,0.08794582353799224,0.29848036465150135,0.7426003052498048,1.1553506635158832,0.9337247502529981,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",4
MESSIER_101_branch_0006,MESSIER 101,210.7589456381856,54.314727382997994,1,0,1,1,1,1,851.3008862037022,253.60725956535106,182.04199866463838,182.04199866463838,0.27690100970276527,0.27690100970276527,0.27690100970276527,0.0,1.0,97.33846604372962,30.050997842143534,0.0,0.0,354.13274347340433,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0070""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.2808867842585344,0.0,253.60725956044124,253.60725956044124,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.7230989902972347,0.0,1.0,0.0,0.14285714285714285,0.7191132157414656,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5067718788356682,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7925871717779518,0.6204697988407347,0.0,0.8217897219937924,0.014284851273658278,0.0,0.08819220294600702,0.29910151330893614,0.7416799149930251,1.1539777707639078,0.9326188381020233,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",5
MESSIER_101_branch_0012,MESSIER 101,210.74860876911856,54.31773953757309,1,0,1,1,1,1,851.3008862037022,132.79252488849474,116.80261656921608,116.80261656921608,0.29260744337872185,0.29260744337872185,0.29260744337872185,0.0,1.0,56.75726821269564,20.25352373678147,0.0,0.0,128.03515142334936,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0034""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.2926074434227435,0.0,132.7925248836154,132.7925248836154,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.7073925566212782,0.0,1.0,0.0,0.14285714285714285,0.7073925565772565,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5048871067945534,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7897742135785416,0.6204697988407347,0.0,0.8212271303539104,0.014284851273658278,0.0,0.08847491875217424,0.2996641049488182,0.740758932668086,1.1526201409242585,0.9315252207498784,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",6
MESSIER_101_branch_0007,MESSIER 101,210.74380071622124,54.3007302210041,1,0,1,1,1,1,851.3008862037022,297.01740394100034,176.49828203810267,176.49828203810267,0.3053386732314077,0.3053386732314077,0.3053386732314077,0.0,1.0,134.9789361213245,41.9912387349376,0.0,0.0,476.11448203137024,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0016""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.30533867323149283,0.0,297.01740394131855,297.01740394131855,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.6946613267685924,0.0,1.0,0.0,0.14285714285714285,0.6946613267685071,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5033593592122312,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7867187184244417,0.6204697988407347,0.0,0.8206160313230904,0.014284851273658278,0.0,0.08870408088952257,0.3002752039796382,0.7398728390722372,1.151294819899652,0.9304576292552437,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",7
MESSIER_101_branch_0019,MESSIER 101,210.75031144733887,54.317983742929904,1,0,1,1,1,1,851.3008862037022,123.0456025070098,100.4714629873097,100.4714629873097,0.31458365056248117,0.31458365056248117,0.31458365056248117,0.0,1.0,39.62916953832192,14.185929621272185,0.0,0.0,229.0,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0047""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.3145836505904582,0.0,123.0456025040697,123.0456025040697,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.6854163494375188,0.0,0.9962001730369268,0.0,0.14285714285714285,0.6854163494095418,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.501717986157672,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.78449992385829,0.6204697988407347,0.0,0.82017227240986,0.014284851273658278,0.0,0.08895028684770644,0.30071896289286854,0.7391123539783269,1.150179474722282,0.9295591804999349,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",8
MESSIER_101_branch_0008,MESSIER 101,210.7552660990108,54.30407693574628,1,0,1,1,1,1,851.3008862037022,280.67806217283953,176.04697693443725,176.04697693443725,0.31749979767619824,0.31749979767619824,0.31749979767619824,0.0,1.0,182.94361583742693,61.779041705413746,0.0,0.0,752.3536402517103,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0044""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.3203478701637775,0.0,280.6780621680258,280.6780621680258,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,1.0,0.6825002023238018,0.0,1.0,0.0,0.14285714285714285,0.6796521298362225,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.5019000242788563,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7831165111606934,0.6204697988407347,0.0,0.8198955898703407,0.014284851273658278,0.0,0.0889229811295288,0.3009956454323878,0.73890338807942,1.1498306209998195,0.9292781668737584,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",9
MESSIER_101_branch_0045,MESSIER 101,210.73975571105407,54.2997862443732,1,0,1,1,1,1,851.3008862037022,81.41966819014785,48.391754302086696,48.391754302086696,0.25814581012041105,0.25814581012041105,0.25814581012041105,0.0,1.0,24.698776064773345,7.358962338080358,0.0,0.0,247.8003228407905,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0027""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]",7,1,6,0,0,1.0,0.0,1.0,0.0,0.25814581010762394,0.0,81.41966819190053,81.41966819190053,0.10520263294672516,278.0,0.91,0.0,851.3008862037022,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.125,0.0,0.0,0.9509717629617632,0.741854189879589,0.0,0.9362441775341929,0.0,0.14285714285714285,0.7418541898923761,1.0,0.9886001646502856,0.9746032941279463,1.0,0.0,0.9100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.46979865893823136,True,1.0,0.0,0.4863687812696314,0.9881009915089448,0.9730000000000001,0.27314837026930616,0.7980450055741702,0.6204697988407347,0.0,0.822881288753036,0.014284851273658278,0.0,0.09125266758091255,0.2980099465496925,0.7381736436118165,1.1496946520145757,0.9291686391974556,0.75,0.6826919198678586,True,STRONG_EXPORT_FAILURE_LIKE,LOW,"[""BENCHMARK_GUARDRAIL_OK"", ""COVERAGE_LIMITED"", ""FORCED_COHERENCE_STRONG"", ""LONG_BASELINE_SUPPORT"", ""PARTIAL_SUPPRESSION_PATTERN"", ""PERSISTENT_FADE_SUPPORT""]",10
