candidate_id,galaxy_name,obsid,obs_id,obs_collection,instrument_name,filter_name,filter_central_um,t_min,t_max,stage,native_flux,native_err,flux_jy,err_jy,snr,pixel_scale_arcsec,radius_pix,x_pix,y_pix,product_path,status,error
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,24581363,u3iu0901t,HST,WFPC2/PC,F658N,0.658,50473.926557175924,50473.93465902778,pre,,,,,,0.04553599999999824,4.743499648629839,658.1446312913431,657.95481395592,/home/primary/SUPERNOVA/data/cache/mast_products/HST/u3iu0901t/hst_6713_09_wfpc2_pc_total_u3iu09_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,207157063,hst_6713_09_wfpc2_pc_f606w_u3iu09,HST,WFPC2/PC,F606W,0.606,50473.94669606,50473.95572384,pre,,,,,,0.04553599999999824,4.743499648629839,658.1446312913431,657.95481395592,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_6713_09_wfpc2_pc_f606w_u3iu09/hst_6713_09_wfpc2_pc_f606w_u3iu09_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,24746136,x3iu1001r,HST,FOC/96,POL0;F342W;CLEAR3;CLEAR4,0.342,50997.43547820602,50997.44782341435,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,24746137,x3iu1002r,HST,FOC/96,POL60;F342W;CLEAR3;CLEAR4,0.342,50997.45141570602,50997.46579795139,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,24746138,x3iu1003r,HST,FOC/96,POL120;F342W;CLEAR3;CLEAR4,0.342,50997.498730555555,50997.51245304398,pre,,,,,,,,,,,FAILED,Arrays do not overlap.
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,25864910,odai05saq,HST,STIS/CCD,MIRVIS,,57933.41522056713,57933.417247997684,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai05saq/odai05saq_spt.fits
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,25865191,odai06f0q,HST,STIS/CCD,MIRVIS,,57936.3927787037,57936.39480578704,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai06f0q/odai06f0q_spt.fits
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,25865603,odai07syq,HST,STIS/CCD,MIRVIS,,57941.225915393516,57941.22794282407,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai07syq/odai07syq_spt.fits
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,25866164,odai08k9q,HST,STIS/CCD,MIRVIS,,57946.06084614583,57946.06287357639,pre,,,,,,,,,,,FAILED,No celestial 2D science image found in /home/primary/SUPERNOVA/data/cache/mast_products/HST/odai08k9q/odai08k9q_spt.fits
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26667859,hst_15145_71_wfc3_uvis_f350lp_idgg71,HST,WFC3/UVIS,F350LP,0.35,58131.68602531,58131.70207843,pre,1172.3014800567641,0.3071150404631904,6.996616649012842e-05,1.8329467648227867e-08,3817.141219422862,0.03962000086903494,5.3999999999999995,756.9521578760402,756.843366878795,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_71_wfc3_uvis_f350lp_idgg71/hst_15145_71_wfc3_uvis_f350lp_idgg71_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26070035,idgg71020,HST,WFC3/IR,F160W,1.6,58131.70408657407,58131.75708325231,pre,105.82623413832712,0.7900359396540422,1.623440219018389e-05,1.2119642443554042e-07,133.9511645314118,0.12825000286102212,2.5,232.98494064772763,232.89867523690305,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg71020/idgg71020_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26303129,hst_15145_72_wfc3_uvis_f350lp_idgg72,HST,WFC3/UVIS,F350LP,0.35,58134.66558531,58134.68212473,pre,1121.6925697091915,0.28890580670192856,6.694619205140507e-05,1.7242820486229823e-08,3882.554603225646,0.03962000086903494,5.3999999999999995,756.8968482236467,756.0610575494904,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_72_wfc3_uvis_f350lp_idgg72/hst_15145_72_wfc3_uvis_f350lp_idgg72_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26070502,idgg72020,HST,WFC3/UVIS,F814W,0.814,58134.68387233796,58134.73589768518,pre,197.48403138632406,0.11788179097690633,6.430051961444173e-05,3.8382143405145204e-08,1675.2717255968075,0.03962000086903568,5.3999999999999995,756.0214585554941,756.38550041647,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg72020/idgg72020_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26071705,idgg74010,HST,WFC3/UVIS,F350LP,0.35,58143.671928587966,58143.687946909726,pre,991.7613873058929,0.28291759429882485,5.919283064210421e-05,1.6885808884427402e-08,3505.477945844431,0.039620000869035665,5.3999999999999995,756.0106979344166,756.2754335363566,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg74010/idgg74010_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26667217,hst_15145_74_wfc3_ir_f160w_idgg74,HST,WFC3/IR,F160W,1.6,58143.68995505,58143.74162098,pre,97.57299336314085,1.017147037947127,1.496859819681726e-05,1.56039748226735e-07,95.92811041368127,0.1282500028610217,2.5,232.5897063744125,232.95100624727712,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_74_wfc3_ir_f160w_idgg74/hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26668321,hst_15145_75_wfc3_uvis_f350lp_idgg75,HST,WFC3/UVIS,F350LP,0.35,58150.0277969,58150.04433596,window,907.3502304130075,0.2511100443382473,5.41556574287674e-05,1.4987630004694782e-08,3613.356975839641,0.03962000086903494,5.3999999999999995,756.3239165378045,756.5323333002548,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_75_wfc3_uvis_f350lp_idgg75/hst_15145_75_wfc3_uvis_f350lp_idgg75_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26668320,hst_15145_75_wfc3_uvis_f814w_idgg75,HST,WFC3/UVIS,F814W,0.814,58150.04608394,58150.05836373,window,165.12736807920183,0.11540905741531561,5.376770349611923e-05,3.757874937422236e-08,1430.8007688249972,0.03962000086903494,5.3999999999999995,756.3239165378046,756.5323333002548,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_75_wfc3_uvis_f814w_idgg75/hst_15145_75_wfc3_uvis_f814w_idgg75_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26669128,hst_15145_76_wfc3_uvis_f350lp_idgg76,HST,WFC3/UVIS,F350LP,0.35,58158.04844505,58158.0649841,window,812.9097225289481,0.2414107062559539,4.85199120791885e-05,1.4409012363727228e-08,3367.330865877451,0.03962000086903494,5.3999999999999995,756.4338803963892,756.9470885388794,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_76_wfc3_uvis_f350lp_idgg76/hst_15145_76_wfc3_uvis_f350lp_idgg76_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26073263,idgg76020,HST,WFC3/UVIS,F555W,0.555,58158.06676689815,58158.12119965278,window,444.41012956871873,0.12545086814455766,7.774496144173874e-05,2.1946333482984126e-08,3542.5034209936493,0.039620000869035596,5.3999999999999995,756.8118008472832,756.8691635160335,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg76020/idgg76020_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26667358,hst_15145_77_wfc3_uvis_f350lp_idgg77,HST,WFC3/UVIS,F350LP,0.35,58168.63341024,58168.64942892,window,701.9879965423087,0.221178796467236,4.190047819039378e-05,1.3201788895537639e-08,3173.8485232525295,0.03962000086903494,5.3999999999999995,756.9772649040478,756.7686842984488,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_77_wfc3_uvis_f350lp_idgg77/hst_15145_77_wfc3_uvis_f350lp_idgg77_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26074670,idgg77020,HST,WFC3/IR,F160W,1.6,58168.65143668981,58168.66379707176,window,85.02371453727498,1.0875858095437254,1.3043956864843374e-05,1.6685253595083395e-07,78.17655746441281,0.12825000286102153,2.5,232.86045035120674,232.98786818395303,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg77020/idgg77020_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26692274,hst_15145_78_wfc3_uvis_f350lp_idgg78,HST,WFC3/UVIS,F350LP,0.35,58181.55109618,58181.56711449,window,589.1040231178671,0.19796022251218892,3.51637716434602e-05,1.1816296928453379e-08,2975.8706857464476,0.03962000086903494,5.3999999999999995,756.2058943652729,756.4856563278602,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_78_wfc3_uvis_f350lp_idgg78/hst_15145_78_wfc3_uvis_f350lp_idgg78_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26692278,hst_15145_78_wfc3_ir_f160w_idgg78,HST,WFC3/IR,F160W,1.6,58181.56912263,58181.62041819,window,80.142580885102,0.8712544439847623,1.2295376660071817e-05,1.3366679032850392e-07,91.98527644641045,0.1282500028610217,2.5,232.50388598124192,232.87635227240497,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_78_wfc3_ir_f160w_idgg78/hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26078771,idgg79010,HST,WFC3/UVIS,F350LP,0.35,58199.115135416665,58199.16527450232,window,461.1749480874157,0.18558271985051555,2.7528874575864103e-05,1.1077972555534778e-08,2485.010180144391,0.039620000869035596,5.3999999999999995,756.5050263213926,756.4147933920988,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg79010/idgg79010_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26078772,idgg79020,HST,WFC3/IR,F160W,1.6,58199.1845741088,58199.23326559028,window,75.19300771869379,0.8757017905591447,1.1536352757581254e-05,1.343529813853192e-07,85.86599745409026,0.12825000286102192,2.5,233.09171377247554,232.68457047739884,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg79020/idgg79020_drz.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26081360,idgg7a010,HST,WFC3/UVIS,F350LP,0.35,58221.34345813657,58221.359997569445,window,346.7932367589551,0.16948871436383323,2.0702258842910077e-05,1.0117842171619342e-08,2046.1140321975115,0.03962000086903557,5.3999999999999995,756.0498923038554,756.5714895024041,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg7a010/idgg7a010_drc.fits,MEASURED,
NGC_5861_hst_15145_74_wfc3_ir_f160w_idgg74_hst_16250_14_wfc3_ir_f160w_iebs14_0023,NGC 5861,26081361,idgg7a020,HST,WFC3/UVIS,F814W,0.814,58221.36174517361,58221.37402534722,window,72.99394665587278,0.1020530915086434,2.3772882811465012e-05,3.32369504065924e-08,715.2546343947901,0.03962000086903561,5.3999999999999995,756.9683333403385,756.0250828910562,/home/primary/SUPERNOVA/data/cache/mast_products/HST/idgg7a020/idgg7a020_drc.fits,MEASURED,
