pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_candidates,n_pass,n_review,scale_factor_post_to_pre,n_scale_sources,astrometric_residual_px,n_sources_detected,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2
MESSIER 101::hst_9490_02_acs_wfc_f555w_j8d602::hst_14678_01_acs_wfc_f555w_jd6v01,MESSIER 101,hst_9490_02_acs_wfc_f555w_j8d602,hst_14678_01_acs_wfc_f555w_jd6v01,F555W,F555W,exact,5327.955672479999,1.4000000000000001,SCANNED,,8,1,7,0.9321586768734117,1013.0,0.9794946630960235,1500.0,0.8860569715142429,0.008995502248875561,True,26321563.0,26481492.0,hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,mast:HST/product/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,mast:HST/product/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_9490_02_acs_wfc_f555w_j8d602/hst_9490_02_acs_wfc_f555w_j8d602_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14678_01_acs_wfc_f555w_jd6v01/hst_14678_01_acs_wfc_f555w_jd6v01_drc.fits,181.0,181.0,SCI,SCI
6dF J0245599-073443::hst_11575_02_acs_wfc_f814w_jb4u02::hst_14226_01_acs_wfc_f814w_jcuc01,6dF J0245599-073443,hst_11575_02_acs_wfc_f814w_jb4u02,hst_14226_01_acs_wfc_f814w_jcuc01,F814W,F814W,exact,2139.9010605399963,1.4000000000000001,SCANNED,,2,0,2,0.977194455185684,77.0,0.1660515139217634,83.0,0.9493670886075949,0.0,True,26415511.0,26473578.0,hst_11575_02_acs_wfc_f814w_jb4u02_drc.fits,hst_14226_01_acs_wfc_f814w_jcuc01_drz.fits,mast:HST/product/hst_11575_02_acs_wfc_f814w_jb4u02_drc.fits,mast:HST/product/hst_14226_01_acs_wfc_f814w_jcuc01_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_11575_02_acs_wfc_f814w_jb4u02/hst_11575_02_acs_wfc_f814w_jb4u02_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14226_01_acs_wfc_f814w_jcuc01/hst_14226_01_acs_wfc_f814w_jcuc01_drz.fits,181.0,181.0,SCI,SCI
MESSIER 061::hst_skycell-p1458x13y04_acs_wfc_f814w_all::hst_12574_01_acs_wfc_f814w_jbs801,MESSIER 061,hst_skycell-p1458x13y04_acs_wfc_f814w_all,hst_12574_01_acs_wfc_f814w_jbs801,F814W,F814W,exact,3368.4125866800023,1.4000000000000001,SCANNED,,1,0,1,1.5807344048497391,49.0,0.6946310716830402,52.0,0.7708333333333334,0.0,True,87488056.0,26448734.0,hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,mast:HST/product/hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,mast:HST/product/hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_skycell-p1458x13y04_acs_wfc_f814w_all/hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12574_01_acs_wfc_f814w_jbs801/hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,181.0,181.0,SCI,SCI
MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,MESSIER 066,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,exact,2203.6784212899947,1.4000000000000001,SCANNED,,1,0,1,0.967194190592859,245.0,0.21440372344037495,301.0,0.9685314685314685,0.0,True,26583197.0,26689617.0,hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits,hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits,mast:HST/product/hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits,mast:HST/product/hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12968_01_wfc3_uvis_f438w_ic0h01/hst_12968_01_wfc3_uvis_f438w_ic0h01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_22_wfc3_uvis_f438w_idxr22/hst_15654_22_wfc3_uvis_f438w_idxr22_drc.fits,181.0,181.0,SCI,SCI
MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,MESSIER 066,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,exact,2203.5971594500006,1.4000000000000001,SCANNED,,1,0,1,0.9814371385130551,118.0,0.20505500630868706,130.0,0.9512195121951219,0.0,True,26583220.0,26689624.0,hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits,hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits,mast:HST/product/hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits,mast:HST/product/hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12968_01_wfc3_uvis_f814w_ic0h01/hst_12968_01_wfc3_uvis_f814w_ic0h01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15654_22_wfc3_uvis_f814w_idxr22/hst_15654_22_wfc3_uvis_f814w_idxr22_drc.fits,181.0,181.0,SCI,SCI
MESSIER 077::hst_15151_04_wfc3_uvis_f555w_idm104::hst_17502_01_wfc3_uvis_f555w_ifab01,MESSIER 077,hst_15151_04_wfc3_uvis_f555w_idm104,hst_17502_01_wfc3_uvis_f555w_ifab01,F555W,F555W,exact,1904.6113411999977,1.4000000000000001,SCANNED,,1,0,1,0.972945659088928,212.0,0.21264967253808698,432.0,0.9255952380952381,0.002976190476190476,True,26676050.0,229880268.0,hst_15151_04_wfc3_uvis_f555w_idm104_drc.fits,hst_17502_01_wfc3_uvis_f555w_ifab01_drc.fits,mast:HST/product/hst_15151_04_wfc3_uvis_f555w_idm104_drc.fits,mast:HST/product/hst_17502_01_wfc3_uvis_f555w_ifab01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15151_04_wfc3_uvis_f555w_idm104/hst_15151_04_wfc3_uvis_f555w_idm104_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17502_01_wfc3_uvis_f555w_ifab01/hst_17502_01_wfc3_uvis_f555w_ifab01_drc.fits,181.0,181.0,SCI,SCI
MESSIER 077::hst_15151_04_wfc3_uvis_f814w_idm104::hst_17502_01_wfc3_uvis_f814w_ifab01,MESSIER 077,hst_15151_04_wfc3_uvis_f814w_idm104,hst_17502_01_wfc3_uvis_f814w_ifab01,F814W,F814W,exact,1904.5682619500003,1.4000000000000001,SCANNED,,1,0,1,0.9641133093555481,126.0,0.13008095139314804,270.0,0.9608938547486033,0.0,True,26693964.0,229880271.0,hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits,hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits,mast:HST/product/hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits,mast:HST/product/hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15151_04_wfc3_uvis_f814w_idm104/hst_15151_04_wfc3_uvis_f814w_idm104_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17502_01_wfc3_uvis_f814w_ifab01/hst_17502_01_wfc3_uvis_f814w_ifab01_drc.fits,181.0,181.0,SCI,SCI
NGC 5861::hst_15145_74_wfc3_ir_f160w_idgg74::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,hst_15145_74_wfc3_ir_f160w_idgg74,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,exact,1494.5039734999955,1.4000000000000001,SCANNED,,1,1,0,0.9714883742437238,71.0,0.24044131651432754,89.0,0.9705882352941176,0.014705882352941176,True,26667217.0,71739676.0,hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits,hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,mast:HST/product/hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits,mast:HST/product/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_74_wfc3_ir_f160w_idgg74/hst_15145_74_wfc3_ir_f160w_idgg74_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16250_14_wfc3_ir_f160w_iebs14/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,181.0,181.0,SCI,SCI
NGC 5861::hst_15145_78_wfc3_ir_f160w_idgg78::hst_16250_14_wfc3_ir_f160w_iebs14,NGC 5861,hst_15145_78_wfc3_ir_f160w_idgg78,hst_16250_14_wfc3_ir_f160w_iebs14,F160W,F160W,exact,1456.6248059200007,1.4000000000000001,SCANNED,,1,1,0,0.9577830508251768,77.0,0.6071488491148266,104.0,0.971830985915493,0.014084507042253521,True,26692278.0,71739676.0,hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits,hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,mast:HST/product/hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits,mast:HST/product/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_78_wfc3_ir_f160w_idgg78/hst_15145_78_wfc3_ir_f160w_idgg78_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_16250_14_wfc3_ir_f160w_iebs14/hst_16250_14_wfc3_ir_f160w_iebs14_drz.fits,181.0,181.0,SCI,SCI
NGC 5728::hst_15640_21_wfc3_ir_f160w_idxb21::hst_15640_2b_wfc3_ir_f160w_idxb2b,NGC 5728,hst_15640_21_wfc3_ir_f160w_idxb21,hst_15640_2b_wfc3_ir_f160w_idxb2b,F160W,F160W,exact,104.54148456999974,1.4000000000000001,SCANNED,,1,0,1,0.9962810464584262,67.0,0.1667358910311457,144.0,0.9509803921568627,0.00980392156862745,True,26687124.0,26695399.0,hst_15640_21_wfc3_ir_f160w_idxb21_drz.fits,hst_15640_2b_wfc3_ir_f160w_idxb2b_drz.fits,mast:HST/product/hst_15640_21_wfc3_ir_f160w_idxb21_drz.fits,mast:HST/product/hst_15640_2b_wfc3_ir_f160w_idxb2b_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15640_21_wfc3_ir_f160w_idxb21/hst_15640_21_wfc3_ir_f160w_idxb21_drz.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15640_2b_wfc3_ir_f160w_idxb2b/hst_15640_2b_wfc3_ir_f160w_idxb2b_drz.fits,181.0,181.0,SCI,SCI
