cluster_id,galaxy_name,pair_id,pre_obs_id,post_obs_id,pre_filter,post_filter,pre_instrument,post_instrument,band_group,baseline_days,pre_mjd,post_mjd,coverage_status,x_pix,y_pix,edge_distance_px,registration_residual_px,registration_n_matches,pair_stable_fraction,pair_extreme_fade_fraction,pair_failure_reason,diff_flux,diff_err,diff_sigma,flux_pre,flux_post,err_pre,err_post,post_to_pre_ratio
MESSIER_066_branch_0002,MESSIER 066,MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,708.0771597106504,,,MEASURED,1955.37229976256,434.9118216788123,102.1077861869505,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,,13.711899111032157,1.1680510729820224,11.739126334626635,134.48466628039984,117.83081440622104,10.766376026481481,11.19836638327805,0.8761654221645194
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.6784212899947,,,MEASURED,871.5820246721215,847.7193692625815,301.6521175128728,0.16880871869207995,258.0,0.9466666666666667,0.0033333333333333335,,0.1070252066620996,0.07099731797194159,1.5074542210791169,-0.1849616588585259,-0.2510448943624234,0.3774274793562651,0.34821189255196694,1.3572807246200331
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.5971594500006,,,MEASURED,871.5820246721215,847.7193692625815,301.43821920917725,0.19978646974872846,109.0,0.9307692307692308,0.015384615384615385,,1.3785029910408642,0.12267375882796822,11.237146429775667,0.9036692032095535,-0.4192861755501496,0.47980813352080776,0.48566262111346126,-0.4639819239838813
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::hst_13364_12_wfc3_uvis_f555w_icdm12::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13364_12_wfc3_uvis_f555w_icdm12,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2101.9854062500017,,,MEASURED,2413.3767359538047,4609.758027940441,339.9308753261463,0.5512279229516222,237.0,0.8290909090909091,0.05818181818181818,,0.33570475862534754,0.2597426585808748,1.2924513842258252,-0.6247666077414573,-1.515698889680242,0.8204599023564956,0.8946189468163406,2.4260241679041092
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13477_03_wfc3_uvis_f555w_ic8503,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.7849484100007,,,MEASURED,1481.5287378066553,2659.042411932749,337.9778099224859,0.13740214208677143,249.0,0.9609929078014184,0.0035460992907801418,,0.6073060612162565,0.21099576205154144,2.8782855888257393,-0.5061941643176286,-1.1891189764080394,0.9652178237272395,0.9373534388744396,2.3491360830108
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_13477_03_wfc3_uvis_f814w_ic8503,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.6953995300064,,,MEASURED,1481.5287378066553,2659.0424119327486,338.33858780813046,0.13596759080022405,227.0,0.9326241134751773,0.010638297872340425,,0.9271201268413514,0.12526833538417168,7.401073256047257,0.6279125933710761,-0.39666172206715267,0.5138575458623388,0.4686885603039454,-0.6317148696406832
MESSIER_066_branch_0003,MESSIER 066,MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,708.0771597106504,,,MEASURED,1887.5987145300646,546.546800886661,186.49664876345634,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,,2.694706879658293,1.951496006783799,1.38084160576857,11.689049472845113,8.57298743308857,5.010997047630463,3.8710366729032857,0.7334204079642677
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.6784212899947,,,OUTSIDE_FOOTPRINT,2480.324063717464,2702.7487730607054,,0.16880871869207995,258.0,0.9466666666666667,0.0033333333333333335,,,,,,,,,
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.5971594500006,,,OUTSIDE_FOOTPRINT,2480.324063717464,2702.7487730607054,,0.19978646974872846,109.0,0.9307692307692308,0.015384615384615385,,,,,,,,,
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::hst_13364_12_wfc3_uvis_f555w_icdm12::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13364_12_wfc3_uvis_f555w_icdm12,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2101.9854062500017,,,OUTSIDE_FOOTPRINT,4022.1849608925977,6464.730389891072,,0.5512279229516222,237.0,0.8290909090909091,0.05818181818181818,,,,,,,,,
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13477_03_wfc3_uvis_f555w_ic8503,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.7849484100007,,,MEASURED,3090.3859575009133,4513.971724353169,303.349633261687,0.13740214208677143,249.0,0.9609929078014184,0.0035460992907801418,,11.301995614770352,0.10071879445943337,112.21337264240658,17.448950789623883,6.214629586331791,0.2569038417372461,0.24625015867381836,0.35616064606173087
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_13477_03_wfc3_uvis_f814w_ic8503,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.6953995300064,,,MEASURED,3090.3859575009133,4513.971724353169,303.05775027212223,0.13596759080022405,227.0,0.9326241134751773,0.010638297872340425,,10.681050373312136,0.11537912471779894,92.57350841789169,17.25527422941435,6.518993110360337,0.3545677099371198,0.33499328138101614,0.3777971316878685
MESSIER_066_branch_0004,MESSIER 066,MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,708.0771597106504,,,MEASURED,1161.0379902155128,1908.9545283945363,320.0,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,,9.85314477378084,1.0101631662492034,9.754013116877108,27.693696472331737,16.65147980887565,4.008618664736238,3.527270500778253,0.6012732834532161
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.6784212899947,,,OUTSIDE_FOOTPRINT,1593.4841273349193,2701.232517087431,,0.16880871869207995,258.0,0.9466666666666667,0.0033333333333333335,,,,,,,,,
