cluster_id,galaxy_name,ra_deg,dec_deg,n_members,n_pass_members,n_review_members,n_support_pairs,n_support_filters,n_support_instruments,detection_baseline_span_days,member_diff_sigma_max,member_diff_sigma_minmax,member_diff_sigma_median,member_ratio_median,member_ratio_min,member_ratio_max,member_severe_fraction,member_partial_fraction,member_pre_snr_median,member_post_snr_median,member_blend_risk_median,member_crowding_median,member_edge_distance_median,member_registration_residual_median,member_registration_matches_median,member_pair_stable_fraction_median,member_pair_extreme_fade_fraction_median,member_centroid_scatter_arcsec,member_reason_codes_json,member_warning_flags_json,member_candidate_ids_json,member_pair_ids_json
NGC_1365_branch_0004,NGC 1365,53.422178918650836,-36.16996116700889,1,0,1,1,1,1,467.4778328819448,22.63450397847259,20.849629255246352,20.849629255246352,0.49427238452240646,0.49427238452240646,0.49427238452240646,0.0,1.0,16.54820668722374,10.574768258108445,0.0,0.0,55.65968020030299,0.09648647283960143,262.0,0.95,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""NGC_1365_jw01995-o006_t006_nircam_clear-f115w_jw05398-c1024_t000_nircam_clear-f115w_fade_0068""]","[""NGC 1365::jw01995-o006_t006_nircam_clear-f115w::jw05398-c1024_t000_nircam_clear-f115w""]"
MESSIER_061_branch_0197,MESSIER 061,185.4744975646865,4.469309300993409,1,0,1,1,1,1,370.96410550925793,20.822544780966126,20.822544780966126,20.822544780966126,0.4499437384504842,0.4499437384504842,0.4499437384504842,0.0,1.0,10.535901929063378,4.917947620274486,0.0,0.0,203.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0133""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_066_branch_0081,MESSIER 066,170.05684109926517,13.01132153602259,1,0,1,1,1,1,708.0771597106504,43.28142000075812,20.459250646604588,20.459250646604588,0.25920751306257045,0.25920751306257045,0.25920751306257045,0.0,1.0,11.923483330546064,3.1168047222611373,0.0,0.0,64.00781202322104,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0051""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
MESSIER_066_branch_0082,MESSIER 066,170.07044500400306,12.992579908720321,1,0,1,1,1,1,708.0771597106504,22.37300649666598,20.42504039983083,20.42504039983083,0.4735194180964641,0.4735194180964641,0.4735194180964641,0.0,1.0,19.853568855740892,10.82286626441695,0.0,0.0,436.1765697512878,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0198""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
NGC_1365_branch_0005,NGC 1365,53.44797750896612,-36.17213350347471,1,0,1,1,1,1,467.4778328819448,34.775252989894106,20.271380514281987,20.271380514281987,0.42728471880540614,0.42728471880540614,0.42728471880540614,0.0,1.0,44.31297131159626,27.199038026607774,0.0,0.0,18.384776310850235,0.09648647283960143,262.0,0.95,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""NGC_1365_jw01995-o006_t006_nircam_clear-f115w_jw05398-c1024_t000_nircam_clear-f115w_fade_0026""]","[""NGC 1365::jw01995-o006_t006_nircam_clear-f115w::jw05398-c1024_t000_nircam_clear-f115w""]"
MESSIER_061_branch_0198,MESSIER 061,185.47710440837272,4.467280764534034,1,0,1,1,1,1,370.96410550925793,27.826431498318325,20.24723416017123,20.24723416017123,-0.16180263496612887,-0.16180263496612887,-0.16180263496612887,1.0,0.0,7.345845742700492,1.373650686854215,0.0,0.0,28.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.0,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0109""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_066_branch_0083,MESSIER 066,170.05814422164318,12.994259909052943,1,0,1,1,1,1,2173.7849484100007,20.218971921171267,20.218971921171267,20.218971921171267,-0.17370867322141623,-0.17370867322141623,-0.17370867322141623,1.0,0.0,4.478928104900174,1.087476625866552,0.0,0.0,902.4771465250519,0.13740214208677143,249.0,0.9609929078014184,0.0035460992907801418,0.0,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_hst_13477_03_wfc3_uvis_f555w_ic8503_hst_15654_22_wfc3_uvis_f555w_idxr22_fade_0506""]","[""MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22""]"
MESSIER_061_branch_0199,MESSIER 061,185.47188312006108,4.466875119965702,1,0,1,1,1,1,370.96410550925793,20.066308977022842,20.066308977022842,20.066308977022842,0.24079607139448764,0.24079607139448764,0.24079607139448764,0.0,1.0,7.876168857866857,2.1174152266197144,0.0,0.0,35.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0097""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_066_branch_0084,MESSIER 066,170.07326511414266,12.986027480823287,1,0,1,1,1,1,2173.6953995300064,22.686455416116377,20.02076261703424,20.02076261703424,-0.11815321411946283,-0.11815321411946283,-0.11815321411946283,1.0,0.0,15.770792769464425,2.0081140510416957,0.0,0.0,175.57049866079439,0.13596759080022405,227.0,0.9326241134751773,0.010638297872340425,0.0,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_hst_13477_03_wfc3_uvis_f814w_ic8503_hst_15654_22_wfc3_uvis_f814w_idxr22_fade_0537""]","[""MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22""]"
MESSIER_066_branch_0085,MESSIER 066,170.05780489674376,12.994037514891684,1,0,1,1,1,1,708.0771597106504,20.35937312003278,19.81710125213046,19.81710125213046,0.46446710029884813,0.46446710029884813,0.46446710029884813,0.0,1.0,13.530023914251773,7.176191294483203,0.0,0.0,291.1116624252625,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.003073585126505738,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0061""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
