id,x,y,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,source_id,flux_first,err_first,flux_last,err_last,fade_fraction,fade_sigma,matched_candidate_id
860,1416.127809900813,672.9470631862429,0.6613150434842834,1.3656986271950071,0.8113013539676729,25,12.799904304373158,96.82351914445476,-4.964952158611867,-4.076856992790616,10,128.71228888099733,0.2091166324204855,-0.1853622851452591,0.16549021461382707,1.0014401288855692,483.3469362469589,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0008
1149,1889.5454582825366,964.1275266582525,0.6183363165934683,-0.10552064277054851,-0.15938471406235125,25,3.1556961011671554,23.082172860296076,-3.408191722736418,-2.5592001799311137,225,47.423451816003855,0.16281592600506087,11.664542941841228,0.15869979489660868,0.7540342911541326,157.27563818319996,MESSIER_101_hst_9490_02_acs_wfc_f555w_j8d602_hst_14678_01_acs_wfc_f555w_jd6v01_0225
1504,2077.0963457640187,1417.1729631758872,0.676999404970304,0.16123071442639955,0.09984831217281467,25,5.94000132337439,38.38509609014176,-3.9604065803046784,-3.1990094154418633,99,51.7341489462507,0.15291756990808297,35.881699615743386,0.1013298644558524,0.30642138033385347,86.41596840121184,
880,117.22017638090944,684.8749890861423,0.856042124810407,0.1599530917589701,0.07627948187197865,25,4.2213537640976355,22.803502047885395,-3.3950038722465687,-2.6503643093444733,228,25.67832487991781,0.302499808523224,1.0189711898240006,0.15520657063700954,0.9603178480454189,72.52901235562427,
1638,2345.4533903166725,1615.9683938706178,0.6267166796057461,-0.1278604261228032,0.003643106645314021,25,7.121430550532122,50.66018392015644,-4.261666905373594,-3.435230817170556,46,62.57978501609754,0.12206934544472733,53.79075671169351,0.07442741759410437,0.14044516615298708,61.47471634775987,
865,885.3705716053436,677.7542912295933,0.8360129523172775,-0.3762079436276455,0.20664164900388993,25,59.42787365808062,414.7810615884151,-6.544547296996144,-5.447925836927007,0,491.41506933645593,0.20560003353483916,476.3344881733908,0.15895941211393474,0.030688072271426337,58.02822135629354,
2135,2320.6828153294027,1943.3299943247112,0.6679267347030668,-0.10010242745228647,0.01948147797524511,25,7.49841385659756,51.05661968331509,-4.270130144977858,-3.4462335038692924,43,69.85799839757463,0.5112590598514047,52.46987113086542,0.4428436347104145,0.2489067489129907,25.7074507176659,
2103,2071.5531945282764,1922.8026061647267,0.5431257442470517,0.2158877685032651,0.00974858401076659,25,4.971302477753709,39.743051026352965,-3.998153010800049,-3.132463311954587,93,52.633520304759756,0.4911998088334221,37.16567212222787,0.3901199052562461,0.29387827553562096,24.658897234186938,
1173,897.6316725659852,1014.2328529392948,0.5653512892738147,0.12115578741371937,0.16564457028321775,25,4.298967888219293,48.683594341617855,-4.218456587468628,-2.6804919226823025,56,67.1688990549206,0.1554522231385214,62.185666365309935,0.12921142605077307,0.07418958416358934,24.65226026415929,
1905,349.3909420613531,1777.9963365414662,0.5652488646610279,0.2584763723174057,0.16641382753810016,25,9.366056240016745,102.3510194445577,-5.025230431784077,-3.561049571357459,7,132.469860607577,0.3738665867363404,121.93755709235613,0.36822803809779164,0.07950716839977146,20.070885892429164,
